xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.3283691,-0.9421387,0.2932129,-0.6046565,0.858252,-0.7330306,-64.91877,18.81401,-73.87601,-64.95502,18.407,-73.62289,-0.09716797,-0.2431641,-0.4008789,0.5502977,0.6094504,0.0147481,-30.197,12.54838,-146.8751,-30.51966,11.70833,-146.8469,LR
-0.3398438,-0.9379883,0.2880859,-0.5893893,0.0,-0.9620381,-64.92093,18.81979,-73.8905,-64.59354,19.10322,-73.89323,-0.09619141,-0.237793,-0.4013672,0.9167099,0.5331145,-0.07685494,-30.17855,12.53826,-146.8871,-29.94808,11.6505,-147.4176,LR
-0.3278809,-0.9470215,0.2912598,-0.574122,0.8124504,-0.8093664,-64.93398,18.82155,-73.90048,-65.15125,18.31071,-73.79468,-0.1000977,-0.2416992,-0.4052734,1.313656,0.5636489,-0.4127328,-30.15707,12.53531,-146.8985,-30.07028,11.9765,-147.1575,LR
-0.3300781,-0.9418945,0.2937012,-0.2687786,0.9193206,-0.6566947,-64.93663,18.82859,-73.90417,-64.86946,18.49784,-73.60226,-0.09838867,-0.2416992,-0.404541,1.619,0.7315878,-0.4127328,-30.13287,12.53122,-146.9101,-30.13696,11.79306,-147.1751,LR
-0.3137207,-0.9423828,0.2758789,-0.2535114,0.9803894,-0.5192901,-64.96346,18.8208,-73.92326,-66.09181,17.7183,-74.47687,-0.1005859,-0.2431641,-0.3942871,1.802206,0.0,-0.5501375,-30.12272,12.52561,-146.9051,-30.86167,12.25079,-146.2809,LR
-0.3356934,-0.9399414,0.2841797,-0.1924427,0.9040535,-0.5498245,-64.9653,18.83426,-73.93448,-64.92367,18.87351,-74.10707,-0.09057617,-0.2385254,-0.3984375,1.573198,0.9911298,-0.4738016,-30.10263,12.5104,-146.9213,-30.27459,11.03688,-147.3661,LR
-0.333252,-0.9411621,0.2763672,-0.07030535,0.9803894,-0.7330306,-64.97298,18.84728,-73.95712,-65.29737,18.76473,-74.52768,-0.09472656,-0.239502,-0.4047852,1.420527,0.8537251,-0.1379237,-30.07864,12.50049,-146.9355,-29.94675,11.38724,-147.5324,LR
-0.3347168,-0.9423828,0.284668,-0.05503809,0.9651221,-0.6566947,-64.97437,18.86009,-73.96985,-65.00208,18.77842,-74.11095,-0.09399414,-0.2434082,-0.3994141,1.160985,0.4262443,0.091084,-30.07353,12.484,-146.9324,-30.67678,11.36251,-146.8445,LR
-0.3339844,-0.9416504,0.2758789,-0.1466411,0.8429847,-0.7177633,-64.98295,18.87122,-73.99228,-65.29595,18.79718,-74.56408,-0.09350586,-0.2436523,-0.3996582,0.9167099,0.6399847,0.1216183,-30.07247,12.46967,-146.929,-30.69426,11.29711,-146.8553,LR
-0.3408203,-0.9445801,0.2824707,-0.05503809,0.0,-0.7940992,-64.98191,18.87519,-74.00989,-64.89071,19.06979,-74.28907,-0.09619141,-0.2470703,-0.4020996,0.0,0.6857863,0.2895572,-30.08827,12.46076,-146.9182,-30.86208,11.52029,-146.6001,LR
-0.3369141,-0.9467773,0.2851563,0.2045038,0.8124504,-0.6414275,-64.97936,18.88595,-74.02229,-65.00494,18.81574,-74.15842,-0.09277344,-0.2443848,-0.3981934,0.9167099,0.227771,0.6254351,-30.09128,12.43929,-146.9056,-30.86783,11.23116,-146.7163,LR
-0.3300781,-0.9389648,0.2890625,0.5098474,0.6445115,-0.6261602,-64.97186,18.88849,-74.02654,-64.95432,18.571,-73.80512,-0.09570313,-0.2424316,-0.3942871,-0.06038928,-0.4287176,0.442229,-30.10752,12.41785,-146.8916,-30.85879,11.68223,-146.5338,LR
-0.3320313,-0.9438477,0.2885742,0.3724428,0.8887863,-0.1834122,-64.96716,18.89566,-74.02694,-65.0107,18.59358,-73.91156,-0.09716797,-0.2431641,-0.4033203,-0.2130611,0.1514351,0.442229,-30.11602,12.40487,-146.8874,-30.37607,11.65781,-147.006,LR
-0.3425293,-0.9472656,0.2873535,0.2503054,0.8124504,-0.3818855,-64.9588,18.91143,-74.03358,-64.73315,19.08702,-74.07797,-0.09667969,-0.2458496,-0.4023438,0.03121376,-0.0470382,0.6254351,-30.12759,12.38788,-146.8753,-30.71589,11.58745,-146.7114,LR
-0.3395996,-0.9399414,0.2800293,-0.131374,0.4460382,-0.6261602,-64.95956,18.9213,-74.04845,-64.90684,19.09886,-74.34739,-0.09960938,-0.237793,-0.3972168,0.2449541,-0.3218473,0.6254351,-30.12429,12.37824,-146.8689,-30.14239,12.14266,-147.0145,LR
-0.3415527,-0.9448242,0.2844238,0.02129769,0.07962596,-0.5803587,-64.95618,18.92591,-74.05987,-64.80639,19.09352,-74.19301,-0.09936523,-0.2458496,-0.4040527,-0.1367252,-0.6271908,0.4574962,-30.13535,12.35875,-146.8593,-30.57692,11.8646,-146.724,LR
-0.3361816,-0.9406738,0.2924805,0.4182443,-0.08831299,-0.3666183,-64.94397,18.92296,-74.05767,-64.65275,18.84314,-73.68048,-0.09912109,-0.2436523,-0.401123,-0.04512215,-0.7798626,0.7323053,-30.14385,12.33862,-146.8462,-30.52735,11.92557,-146.7445,LR
-0.333252,-0.9450684,0.2839355,0.5861833,-0.3173206,-0.1986794,-64.93935,18.91304,-74.06305,-65.14379,18.66033,-74.18047,-0.1010742,-0.2402344,-0.3881836,-0.3046641,-0.5813893,0.350626,-30.1638,12.33299,-146.8266,-30.91736,12.48432,-146.1221,LR
-0.3254395,-0.9423828,0.295166,0.5861833,-0.3631221,-0.0002061129,-64.93204,18.89423,-74.05195,-65.0042,18.23964,-73.50829,-0.09741211,-0.2424316,-0.3908691,-0.1214581,-0.5050534,0.3048244,-30.18301,12.31856,-146.8106,-31.04075,11.95795,-146.2399,LR
-0.3308105,-0.9279785,0.2983398,0.3571756,-0.2257175,-0.03074045,-64.91564,18.88817,-74.03437,-64.35704,18.74606,-73.15222,-0.1022949,-0.2426758,-0.3962402,0.07701516,-0.1691756,0.0147481,-30.19158,12.31802,-146.802,-30.66809,12.41593,-146.3906,LR
-0.3300781,-0.9355469,0.2941895,0.4029771,-0.1493817,0.09139694,-64.90549,18.88025,-74.02199,-64.70392,18.60169,-73.48272,-0.1035156,-0.2385254,-0.3950195,0.0922823,-0.09283972,-0.168458,-30.19218,12.32317,-146.8014,-30.28959,12.6437,-146.6454,LR
-0.333252,-0.9362793,0.2961426,0.1434351,0.1101603,0.03032825,-64.89603,18.87917,-74.00923,-64.53791,18.74522,-73.40675,-0.1005859,-0.2429199,-0.3911133,0.2602212,-0.001236677,-0.168458,-30.20507,12.32316,-146.7896,-31.02794,12.32373,-146.0895,LR
-0.3259277,-0.9455566,0.2878418,-0.03977096,0.2475649,-0.0002061129,-64.90476,18.87023,-74.00793,-65.3036,18.25016,-73.94429,-0.09594727,-0.2375488,-0.4008789,0.3060229,0.02929771,0.06054974,-30.19556,12.30983,-146.8013,-29.95457,11.63494,-147.4181,LR
-0.3405762,-0.9348145,0.307373,-0.03977096,0.2933664,-0.1834122,-64.88445,18.87894,-73.98711,-63.85999,19.09053,-72.83189,-0.09985352,-0.2443848,-0.4030762,0.229687,-0.1386412,-0.2905953,-30.19782,12.30081,-146.8051,-30.47723,11.96042,-146.7769,LR
-0.3254395,-0.9406738,0.2929688,0.02129769,0.2322977,-0.1223435,-64.88721,18.87037,-73.98116,-65.03805,18.27916,-73.59931,-0.09716797,-0.2436523,-0.3935547,0.04648089,-0.2302443,0.1979542,-30.21335,12.28852,-146.7924,-31.0083,11.85558,-146.3156,LR
-0.331543,-0.9365234,0.2932129,0.05183208,0.262832,-0.07654199,-64.8828,18.87017,-73.97379,-64.70464,18.6672,-73.55666,-0.09960938,-0.2460938,-0.3901367,-0.02985501,-0.2149771,0.1216183,-30.23817,12.2833,-146.77,-31.43253,12.18571,-145.7647,LR
-0.3310547,-0.9433594,0.2932129,-0.08557248,0.1864962,-0.168145,-64.88406,18.86604,-73.96988,-64.88345,18.52689,-73.6545,-0.1020508,-0.2453613,-0.4035645,-0.1672597,-0.123374,-0.3363969,-30.24619,12.27967,-146.7723,-30.51645,12.19259,-146.636,LR
-0.3305664,-0.9375,0.2937012,-0.3451145,0.1864962,-0.1986794,-64.88642,18.8634,-73.96421,-64.74804,18.59699,-73.54009,-0.1088867,-0.2385254,-0.3879395,-0.06038928,-0.2149771,-0.06158781,-30.25465,12.29986,-146.7567,-30.62451,13.44697,-145.9457,LR
-0.3291016,-0.9401855,0.2932129,-0.222977,0.3544351,-0.09180916,-64.88961,18.8609,-73.95824,-64.88207,18.47784,-73.59796,-0.09985352,-0.2436523,-0.3969727,-0.2435954,0.1209008,-0.09212208,-30.26839,12.29763,-146.7518,-30.76256,12.0998,-146.4429,LR
