xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1079102,-0.08129883,-0.4604492,-0.01458788,-0.01650381,-0.2295268,-9.790638,13.06417,1.114604,-9.75417,12.99567,-0.7548828,-0.2470703,0.7229004,0.5556489,0.2170305,-0.04600763,-13.41336,44.47762,5.420418,-13.29983,44.65773,Unknown
-0.1098633,-0.08496094,-0.4543457,-0.07565641,-0.1539084,-0.06158781,-9.801968,13.06802,1.11368,-10.30151,13.37028,-0.7529297,-0.2475586,0.722168,0.06709921,0.003290057,-0.0002061129,-13.41109,44.48019,5.420415,-13.34878,44.60358,Unknown
-0.09692383,-0.08203125,-0.4460449,-0.1672597,-0.123374,0.1216183,-9.811985,13.04624,1.115383,-10.18811,12.06333,-0.7512207,-0.2548828,0.7299805,-0.1466411,-0.1951832,-3.725397,-13.4184,44.47139,5.368259,-13.67604,44.174,Unknown
-0.09448242,-0.08398438,-0.4560547,-0.02985501,-0.4897862,0.1063511,-9.820595,13.00892,1.116872,-10.22201,11.51624,-0.7600098,-0.2473145,0.7255859,-0.2077099,-0.4241909,0.06086259,-13.41777,44.47121,5.369112,-13.24453,44.75354,Unknown
-0.1052246,-0.08520508,-0.4492188,0.04648089,0.02929771,-0.01578617,-9.832809,13.00835,1.116651,-10.46322,12.96016,-0.7526855,-0.2526855,0.7290039,-0.2077099,-0.3325878,-3.725397,-13.42342,44.46304,5.316956,-13.55788,44.29075,Unknown
-0.109375,-0.0769043,-0.447998,0.03121376,-0.09283972,-0.09212208,-9.82508,13.01749,1.115361,-9.467752,13.52943,-0.7558594,-0.2590332,0.7258301,0.05183208,0.03382444,-0.01547329,-13.43193,44.46312,5.31674,-13.8844,44.44424,Unknown
-0.1088867,-0.08374023,-0.4499512,0.07701516,-0.1539084,-0.2905953,-9.832512,13.02253,1.111002,-10.25327,13.38254,-0.7578125,-0.251709,0.7324219,-0.08557248,-0.08831299,-0.04600763,-13.4332,44.46011,5.31605,-13.43255,44.37727,Unknown
-0.1113281,-0.07885742,-0.451416,-0.01458788,-0.1844428,0.03001523,-9.828585,13.03265,1.111422,-9.626175,13.65495,-0.7456055,-0.2514648,0.7255859,0.3113741,-0.01197708,0.07612977,-13.43202,44.45384,5.317115,-13.58798,44.15512,Unknown
-0.1064453,-0.08325195,-0.4538574,0.1075497,0.01403052,-0.0310533,-9.832098,13.03211,1.110708,-10.12548,12.99008,-0.7421875,-0.2531738,0.7270508,-0.1161069,-0.2562519,0.2440687,-13.4399,44.43801,5.322729,-13.69489,43.95116,Unknown
-0.1047363,-0.09228516,-0.4399414,0.1228168,-0.2149771,0.2132213,-9.864444,13.03084,1.113693,-11.53364,13.11579,-0.748291,-0.2526855,0.7358398,-0.1619084,-0.179916,-0.03074045,-13.44407,44.42447,5.322299,-13.53761,43.88427,Unknown
