sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.5878906,-0.7824707,-0.05419922,1.692672,1.828703,0.2399384,-52.57148,36.82809,1.392087,-52.965,36.85266,0.018,-0.5512695,0.2487793,0.9287109,-0.6037859,-1.855359,-0.04632056,11.6982,29.8089,-0.7576381,12.97186,29.82868,0.018,0.3745117,0.3342285,0.1159668,1.439784,-1.382687,-0.53548,39.78552,-46.04802,-0.6917326,40.44771,-46.63093,0.018,NEUTRAL
-0.5944824,-0.7841797,-0.05761719,2.394962,1.279084,0.3620758,-52.53191,36.85592,1.398604,-52.7054,37.09134,0.018,-0.5380859,0.2226563,0.9282227,-0.8175263,-0.9240612,-0.3363969,11.68429,29.78462,-0.7636932,11.72394,29.41013,0.018,0.3769531,0.3271484,0.1308594,-1.140369,-2.512458,-0.6881516,39.75664,-46.11002,-0.7041194,39.34756,-46.93218,0.018,NEUTRAL
-0.5996094,-0.7822266,-0.04077148,2.486565,1.111145,-0.004336357,-52.48426,36.88817,1.398522,-52.4645,37.43415,0.019,-0.5412598,0.2138672,0.911377,-1.535084,-0.1149009,-0.4127328,11.65017,29.7875,-0.7715352,11.40709,30.0359,0.019,0.3737793,0.3286133,0.1296387,-1.796857,-2.130779,-0.5049455,39.72233,-46.15983,-0.7137134,39.71381,-46.61661,0.019,NEUTRAL
-0.5722656,-0.7839355,-0.046875,1.020916,0.882138,0.1636025,-52.49216,36.88758,1.401467,-53.77963,36.08041,0.018,-0.5454102,0.230957,0.9245605,-1.351877,0.663725,-0.4890687,11.63616,29.79914,-0.7803384,12.14237,29.78364,0.018,0.3786621,0.34375,0.1269531,-2.835025,-1.413222,0.01413846,39.69225,-46.18035,-0.7134588,40.71908,-45.93945,0.018,NEUTRAL
-0.588623,-0.786377,-0.07128906,-0.2004578,0.4088554,-0.1722753,-52.50553,36.8911,1.398366,-52.98389,36.70336,0.018,-0.5473633,0.223877,0.9379883,-0.8327934,1.793496,-1.02342,11.62171,29.82638,-0.7987599,11.64809,29.57953,0.018,0.3674316,0.3347168,0.1315918,0.2489443,-0.5887942,0.8385658,39.71514,-46.17939,-0.6983647,40.6171,-45.61279,0.018,NEUTRAL
-0.5927734,-0.7902832,-0.05664063,2.578168,0.7905349,-0.3096799,-52.46998,36.90327,1.392791,-53.00221,36.8023,0.018,-0.559082,0.2248535,0.9211426,1.594687,0.09883952,-0.3363969,11.65315,29.8421,-0.8048151,11.78702,30.52493,0.018,0.3754883,0.3405762,0.1240234,1.088639,0.006625712,1.296581,39.75478,-46.17592,-0.6750262,40.73692,-46.0118,0.018,NEUTRAL
-0.5734863,-0.7702637,-0.06738281,2.394962,1.156947,-0.2638783,-52.43884,36.91803,1.387778,-53.14278,36.56432,0.019,-0.5454102,0.2451172,0.9250488,0.006901145,0.4194503,0.2742901,11.67737,29.84667,-0.7996035,12.85787,29.68022,0.019,0.3688965,0.3391113,0.1311035,1.546654,-1.107878,1.830932,39.80646,-46.18136,-0.6402385,40.89856,-45.41648,0.019,NEUTRAL
-0.6062012,-0.7932129,-0.03344727,3.265191,-2.171297,0.4231444,-52.38386,36.88865,1.395394,-52.56964,37.36378,0.018,-0.5495605,0.2258301,0.9277344,2.846596,-0.1149009,1.190321,11.73061,29.84617,-0.7781777,11.8287,29.92308,0.018,0.3759766,0.3347168,0.121582,3.119173,-1.917038,2.838566,39.87069,-46.22263,-0.5891443,40.26696,-46.55409,0.018,NEUTRAL
-0.5871582,-0.7739258,-0.03759766,3.356794,1.523359,0.4994803,-52.33211,36.92083,1.404385,-52.75686,37.15417,0.018,-0.5551758,0.2258301,0.9274902,1.915298,-0.2370383,1.633069,11.76579,29.8487,-0.7487825,11.80037,30.18173,0.018,0.3796387,0.3308105,0.135498,3.363448,-2.680397,3.739329,39.92011,-46.27989,-0.5218364,39.37495,-46.72148,0.018,NEUTRAL
-0.5761719,-0.7670898,-0.04614258,1.036183,0.8210692,0.209404,-52.3262,36.93493,1.408364,-53.00129,36.86105,0.019,-0.5534668,0.2241211,0.9372559,1.47255,1.320214,0.5338321,11.79059,29.8737,-0.7386397,11.63483,29.86989,0.019,0.3754883,0.3330078,0.1306152,2.966501,-2.039176,2.395818,39.97596,-46.32005,-0.4763159,39.95071,-46.38923,0.019,NEUTRAL
-0.5878906,-0.7827148,-0.06079102,0.1812216,0.2409166,0.1636025,-52.33535,36.93702,1.411309,-52.94367,36.82721,0.018,-0.5483398,0.2255859,0.9245605,1.533619,1.579756,-0.04632056,11.81888,29.90309,-0.7394734,11.85208,29.94964,0.018,0.3728027,0.3317871,0.1281738,3.332914,0.2356333,1.540856,40.03693,-46.31641,-0.4485805,40.08485,-46.34613,0.018,NEUTRAL
-0.6079102,-0.7731934,-0.06616211,1.173588,0.6989318,0.3010072,-52.30115,36.9721,1.416727,-51.66038,38.07409,0.018,-0.5495605,0.2321777,0.9362793,1.823695,2.740061,-0.428,11.8561,29.94677,-0.7471775,12.07147,29.67046,0.018,0.3776855,0.331543,0.1293945,3.745127,0.3272364,2.151543,40.09641,-46.31834,-0.4098527,39.70773,-46.70116,0.018,NEUTRAL
-0.6018066,-0.7687988,-0.05834961,-0.1241219,-0.3392361,0.1941369,-52.29365,36.98614,1.420221,-51.8164,37.97358,0.018,-0.5539551,0.2380371,0.940918,0.6175882,3.152275,-0.3516641,11.87584,29.99776,-0.7535074,12.29848,29.7159,0.018,0.387207,0.338623,0.1396484,3.897799,-1.535359,2.350016,40.1521,-46.35086,-0.3675524,39.44275,-46.59023,0.018,NEUTRAL
-0.590332,-0.7624512,-0.05834961,-1.147023,-0.1712972,0.3468087,-52.31033,36.99676,1.426464,-52.11607,37.66808,0.018,-0.5612793,0.2441406,0.9421387,-1.153404,2.663725,0.350626,11.86899,30.04424,-0.7471962,12.55065,29.97213,0.018,0.3808594,0.3432617,0.1384277,3.790929,-0.8636033,2.319482,40.22126,-46.35546,-0.3258017,40.26682,-45.81909,0.018,NEUTRAL
