sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.5522461,-0.7822266,-0.2341309,1.771451,-1.385038,-0.3424419,-51.95739,33.49279,-0.1050358,-52.51826,34.07229,0.019,-0.4726563,0.6628418,0.6965332,-0.6026568,-0.8571614,1.048947,38.29164,25.919,-0.84029,38.21852,26.17747,0.019,0.4001465,0.2878418,0.1687012,0.9578323,0.74226,-0.6121509,33.51436,-50.08352,-0.4502079,33.53804,-50.17917,0.019,NEUTRAL
-0.5488281,-0.7746582,-0.2307129,1.710383,-1.583511,-0.3119075,-51.93888,33.48009,-0.1103382,-52.45658,34.17665,0.017,-0.4707031,0.661377,0.692627,-0.7553286,-0.8571614,0.8810078,38.27924,25.90983,-0.8253128,38.30052,26.17427,0.017,0.4042969,0.2875977,0.1708984,1.125771,1.093405,-0.3373415,33.5275,-50.0715,-0.4559427,33.23361,-50.39334,0.017,NEUTRAL
-0.5534668,-0.7783203,-0.2224121,1.527176,-1.675114,-0.1287014,-51.91188,33.45504,-0.1136844,-52.53442,34.3618,0.026,-0.4746094,0.6650391,0.6967773,-1.137008,-0.7197568,1.018412,38.25003,25.89791,-0.7988341,38.26772,26.23116,0.026,0.4016113,0.2929688,0.1672363,0.7440917,0.4369165,-0.8106241,33.55507,-50.05836,-0.4770189,33.95749,-49.97082,0.026,NEUTRAL
-0.5488281,-0.7807617,-0.2290039,1.313436,-1.369771,-0.174503,-51.90455,33.4418,-0.1168255,-52.70427,34.00059,0.018,-0.473877,0.6643066,0.6989746,-1.198077,-0.4907492,1.018412,38.22771,25.89471,-0.7805027,38.19063,26.17052,0.018,0.4057617,0.2905273,0.168457,0.5456185,0.6201226,-0.9632959,33.56311,-50.05399,-0.4943583,33.47587,-50.38676,0.018,NEUTRAL
-0.5534668,-0.782959,-0.2302246,0.8401536,-1.552977,-0.4187778,-51.90288,33.42845,-0.1243635,-52.56201,34.14436,0.018,-0.4729004,0.6665039,0.7102051,-1.106474,-0.7197568,1.048947,38.20354,25.88209,-0.7616217,37.99484,25.89837,0.018,0.4060059,0.2944336,0.1650391,1.232641,1.33768,-0.4594791,33.59146,-50.03454,-0.5026289,33.89368,-50.2615,0.018,NEUTRAL
-0.5466309,-0.7849121,-0.2324219,1.34397,-1.430839,0.02397025,-51.89878,33.40931,-0.123932,-52.88298,33.73352,0.018,-0.4665527,0.659668,0.7067871,-0.5415882,-0.8571614,1.079481,38.18824,25.86454,-0.7421911,37.91616,25.76067,0.018,0.4047852,0.2949219,0.1635742,0.6982903,1.505619,-0.5510821,33.61274,-50.0113,-0.5125484,34.03974,-50.20062,0.018,NEUTRAL
-0.5327148,-0.7834473,-0.2302246,0.4584742,-1.293435,-0.4493122,-51.92213,33.3807,-0.1320196,-53.47098,33.11954,0.018,-0.4658203,0.6621094,0.703125,-0.8469316,-0.7960927,1.064214,38.17219,25.84818,-0.7230352,38.13264,25.74869,0.018,0.4030762,0.2941895,0.1699219,0.8051605,0.5895884,-0.3373415,33.63314,-49.99815,-0.5186205,33.92252,-49.87383,0.018,NEUTRAL
-0.5546875,-0.7819824,-0.2299805,0.7943521,-1.461374,-0.5409152,-51.92006,33.37346,-0.1412152,-52.4798,34.23587,0.017,-0.4626465,0.6582031,0.6989746,-0.8316645,-0.4144134,0.8657407,38.1577,25.83887,-0.7083177,38.1405,25.72811,0.017,0.3989258,0.2890625,0.1721191,0.6219544,-0.3875109,-0.3373415,33.64357,-50.00181,-0.5243554,33.63652,-49.8581,0.017,NEUTRAL
-0.545166,-0.796875,-0.2336426,1.252367,-1.385038,-0.2813732,-51.92635,33.34725,-0.1462799,-53.33928,33.28465,0.018,-0.4685059,0.6647949,0.7077637,-0.69426,-0.1090698,0.6825345,38.14368,25.83531,-0.696032,38.06932,25.75675,0.018,0.3996582,0.2907715,0.1762695,0.8967636,0.2689776,0.04433775,33.65953,-49.98921,-0.5235572,33.6509,-49.60897,0.018,NEUTRAL
-0.548584,-0.7841797,-0.2355957,2.168398,-2.133129,-0.2966404,-51.90178,33.31701,-0.1519161,-52.71622,33.82131,0.019,-0.4846191,0.6606445,0.7067871,-0.2362447,-0.03273392,0.6825345,38.12899,25.85013,-0.6830638,37.62878,26.60691,0.019,0.4035645,0.2956543,0.1723633,0.5150843,0.9712678,0.02907062,33.67532,-49.96537,-0.5230049,33.96934,-49.70155,0.019,NEUTRAL
