xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.1604004,0.2270508,1.087646,-1.826031,1.163595,-0.2597481,4.277951,2.87575,-5.102639,11.66871,8.214624,-14.33738,-0.04736328,0.123291,-0.453125,0.1686182,0.07509923,-0.1379237,5.568847,2.324202,-60.82239,15.14248,5.759322,-163.7498,Unknown
-0.1589355,0.2253418,1.096436,-3.474885,2.827718,-0.1223435,4.374654,3.018658,-5.284606,11.49692,8.081341,-14.11705,-0.05908203,0.1171875,-0.4575195,0.4128931,-0.2760458,-0.0310533,5.748603,2.416269,-62.88629,14.25321,7.130497,-163.9946,Unknown
-0.1484375,0.220459,1.101563,-2.360382,1.51474,-0.1528779,4.476833,3.131091,-5.452451,11.21847,7.526981,-13.56452,-0.04663086,0.1220703,-0.4602051,0.0,0.3957099,-0.1226563,5.929297,2.485634,-64.91333,14.78336,5.593673,-164.1483,Unknown
-0.15625,0.229248,1.092529,0.05183208,0.5376411,-0.9162367,4.622749,3.23573,-5.641837,11.73454,7.967844,-14.24829,-0.0456543,0.1235352,-0.4558105,0.0,-0.4134504,0.3658931,6.112554,2.54028,-66.88736,15.09215,5.521801,-163.8839,Unknown
-0.1577148,0.2287598,1.092041,0.0,0.5834427,-0.763565,4.764555,3.340505,-5.825731,11.71307,8.045682,-14.27537,-0.04760742,0.1242676,-0.4431152,0.4739618,0.1209008,0.04528236,6.308413,2.609254,-68.81467,15.58039,5.906074,-163.2841,Unknown
-0.1577148,0.2272949,1.086426,0.7235878,-0.3020534,-0.3513512,4.91314,3.431293,-5.999766,11.69743,8.087143,-14.28646,-0.05151367,0.1176758,-0.4501953,0.1838853,-0.1844428,-0.1379237,6.476104,2.680703,-70.72189,14.55778,6.317246,-164.0746,Unknown
-0.1547852,0.2258301,1.084717,-1.490153,0.858252,-1.038374,5.025889,3.53434,-6.178348,11.64586,7.952801,-14.16566,-0.05053711,0.1196289,-0.4545898,-0.8542824,-0.01650381,0.1521528,6.628004,2.749589,-72.5865,14.65719,6.136324,-164.0566,Unknown
-0.1547852,0.2236328,1.087402,-2.787863,1.575809,-1.145244,5.11729,3.64402,-6.351342,11.50843,7.93735,-14.04238,-0.04980469,0.1230469,-0.4501953,0.32129,0.3651755,0.03001523,6.804132,2.82179,-74.40575,15.19827,6.091259,-163.5714,Unknown
-0.1635742,0.2285156,1.101563,-4.360382,2.537641,-1.282649,5.182765,3.773897,-6.529406,11.59595,8.272682,-14.31181,-0.05712891,0.1193848,-0.4509277,0.2449541,0.07509923,0.1063511,6.965982,2.906106,-76.18893,14.71656,6.982374,-163.6427,Unknown
-0.1621094,0.2270508,1.09375,-2.955801,1.636878,-0.6261602,5.267743,3.887624,-6.694209,11.60415,8.257144,-14.30933,-0.04223633,0.1203613,-0.4396973,0.1991527,-0.01650381,-0.3974657,7.134236,2.953624,-77.94704,15.24207,5.2933,-163.8225,Unknown
