xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4401855,-0.7978516,0.5524902,-0.5130534,0.4613054,-0.5192901,-16.23053,8.192539,-19.52826,-48.47881,24.39807,-58.77089,-0.2277832,-0.2402344,-0.3337402,-0.2130611,-1.283679,1.495664,-10.69101,9.84344,-46.85157,-30.7334,28.98346,-135.2314,Unknown
-0.439209,-0.800293,0.5539551,-0.4825191,0.7361145,-0.6872291,-16.8839,8.525257,-20.32279,-48.54399,24.28738,-58.75009,-0.2297363,-0.2390137,-0.3349609,0.3976259,-0.3523817,1.159786,-11.08084,10.22488,-48.60339,-30.47472,29.17461,-135.2957,Unknown
-0.4350586,-0.8007813,0.552002,-0.4367175,0.0,-1.038374,-17.52718,8.836744,-21.10753,-48.72686,24.09962,-58.79634,-0.2250977,-0.2402344,-0.331543,0.672435,0.487313,1.220855,-11.46883,10.6031,-50.31861,-30.94194,28.80122,-135.202,Unknown
-0.442627,-0.8012695,0.5439453,-0.8489313,0.0,-1.297916,-18.16442,9.151258,-21.88879,-48.80718,24.56245,-59.28046,-0.223877,-0.2316895,-0.3317871,0.0,0.0,1.037649,-11.84075,10.97009,-52.01382,-30.06464,28.95247,-135.8415,Unknown
-0.4443359,-0.7978516,0.5571289,-0.4367175,0.9345879,-1.267382,-18.77215,9.47281,-22.64193,-48.22962,24.54193,-58.61432,-0.2319336,-0.2382813,-0.3320313,0.8861756,0.2735725,1.388794,-12.20116,11.34595,-53.65364,-30.46939,29.57548,-134.9576,Unknown
-0.4475098,-0.7971191,0.5539551,-0.2077099,1.178863,-1.282649,-19.36401,9.794537,-23.38239,-48.22299,24.75046,-58.78495,-0.2351074,-0.2348633,-0.3317871,0.7335038,-0.2760458,1.724672,-12.54726,11.71612,-55.25598,-30.00931,30.04371,-134.9541,Unknown
-0.4384766,-0.8029785,0.5527344,0.08236647,1.591076,-1.282649,-19.94952,10.10484,-24.10958,-48.696,24.21816,-58.86175,-0.2282715,-0.2414551,-0.3422852,0.8709083,0.2430381,1.419328,-12.89167,12.05714,-56.847,-30.40787,28.58852,-135.8499,Unknown
-0.4414063,-0.8083496,0.5532227,0.6167176,1.850618,-1.160511,-20.5174,10.4151,-24.82461,-48.79668,24.25773,-59.00818,-0.2297363,-0.2365723,-0.3395996,1.160985,-0.001236677,1.953679,-13.2176,12.39666,-58.40008,-29.98469,29.03393,-135.8417,Unknown
-0.4411621,-0.802002,0.5493164,0.6777863,1.89642,-1.145244,-21.07178,10.72102,-25.52444,-48.70156,24.40994,-59.03082,-0.2312012,-0.2404785,-0.3435059,1.267855,0.6552519,1.984214,-13.53755,12.73578,-59.91969,-30.14691,28.87131,-135.8388,Unknown
-0.4394531,-0.8039551,0.557373,0.0,2.064359,-1.282649,-21.62155,11.02075,-26.20653,-48.5601,24.19035,-58.68624,-0.2304688,-0.2414551,-0.3442383,1.359458,0.0,1.434595,-13.85286,13.05562,-61.41926,-30.23582,28.72773,-135.8828,Unknown
-0.4482422,-0.7993164,0.5554199,0.7846565,2.323901,-1.175779,-22.1431,11.32676,-26.87415,-48.23747,24.72691,-58.781,-0.2321777,-0.2385254,-0.342041,1.145718,0.4262443,1.449863,-14.15865,13.38294,-62.88513,-29.98435,29.10842,-135.7787,Unknown
-0.4394531,-0.8010254,0.5541992,0.9831298,2.49184,-0.8246336,-22.65691,11.62251,-27.52399,-48.55621,24.28297,-58.76002,-0.229248,-0.236084,-0.3334961,0.8251068,0.7010534,1.633069,-14.46931,13.7108,-64.31268,-30.25797,29.29483,-135.3823,Unknown
-0.4387207,-0.8039551,0.5546875,0.738855,2.537641,-0.7482977,-23.16689,11.90864,-28.15976,-48.66286,24.1881,-58.79926,-0.230957,-0.2358398,-0.3354492,0.9472442,1.052198,1.694137,-14.76749,14.03984,-65.71074,-30.07417,29.38959,-135.4611,Unknown
-0.4394531,-0.8010254,0.5568848,0.6625191,2.858252,-0.6566947,-23.66325,12.19747,-28.77896,-48.47166,24.24927,-58.63707,-0.2248535,-0.2385254,-0.3352051,0.6266336,1.433878,1.78574,-15.07454,14.35329,-67.08307,-30.58065,28.65862,-135.6398,Unknown
