xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4765625,-0.8608398,0.3425293,2.555649,-0.6531985,0.8547558,-19.05565,9.529981,-25.02367,-55.71529,27.22028,-70.80614,-0.1140137,-0.2492676,-0.3886719,-1.46497,-4.459252,2.121618,-11.75257,4.164595,-51.41989,-31.60816,13.87024,-144.8072,Unknown
-0.4782715,-0.8613281,0.3432617,1.990763,-0.8822061,0.8394885,-19.75823,9.872125,-25.92668,-55.64802,27.28554,-70.79082,-0.1181641,-0.2541504,-0.3903809,-1.358099,-3.60429,1.724672,-12.1747,4.316529,-53.2543,-31.92755,14.23388,-144.3232,Unknown
-0.4851074,-0.8674316,0.3320313,1.975496,-1.004344,0.8089542,-20.45346,10.21246,-26.82757,-55.87464,27.57765,-71.5265,-0.1201172,-0.2539063,-0.3884277,-1.251229,-3.39055,1.342992,-12.58929,4.470602,-55.05202,-31.98472,14.51216,-144.128,Unknown
-0.4785156,-0.861084,0.3364258,1.715954,-1.431824,0.9158244,-21.13539,10.53449,-27.70045,-55.81129,27.36653,-71.14442,-0.1176758,-0.2541504,-0.3845215,-2.014588,-3.283679,1.129252,-13.01102,4.622577,-56.81412,-32.29365,14.32197,-143.9318,Unknown
-0.479248,-0.8571777,0.3300781,1.79229,-1.431824,1.419641,-21.80465,10.85522,-28.5554,-55.82826,27.55344,-71.422,-0.1203613,-0.2460938,-0.3798828,-2.014588,-3.49742,0.7323053,-13.41437,4.776538,-58.55112,-31.69777,14.89126,-144.2029,Unknown
-0.4824219,-0.8588867,0.329834,1.273206,-1.309687,1.770786,-22.4652,11.17227,-29.38803,-55.76809,27.67017,-71.48824,-0.1191406,-0.2407227,-0.3842773,-2.16726,-3.237878,0.5949008,-13.79368,4.93101,-60.27291,-30.89344,14.72132,-145.0482,Unknown
-0.4821777,-0.854248,0.3413086,0.9373282,-1.462359,1.633382,-23.10973,11.48199,-30.19415,-55.33438,27.66166,-70.81507,-0.1169434,-0.2470703,-0.3852539,-1.755046,-2.718794,0.06054974,-14.17433,5.07909,-61.95942,-31.53614,14.33338,-144.6432,Unknown
-0.4846191,-0.861084,0.3349609,0.6319848,-1.523427,1.266969,-23.75068,11.78351,-30.99711,-55.62189,27.67763,-71.27341,-0.1154785,-0.2507324,-0.3862305,-1.541306,-2.672992,-0.09212208,-14.5496,5.222399,-63.61041,-31.88049,14.07826,-144.4458,Unknown
-0.4926758,-0.8630371,0.3366699,0.2503054,-1.782969,1.236435,-24.37901,12.08348,-31.7859,-55.33924,28.00535,-71.28448,-0.1213379,-0.2451172,-0.3894043,-1.968786,-3.329481,-0.3363969,-14.90764,5.364464,-65.24149,-31.00451,14.77284,-144.917,Unknown
-0.4890137,-0.8481445,0.3452148,0.08236647,-2.363122,1.511244,-24.98596,12.36915,-32.5395,-54.78701,28.10344,-70.57673,-0.1103516,-0.2424316,-0.387207,-2.350466,-3.71116,-0.5806718,-15.2628,5.477855,-66.85413,-31.05332,13.57991,-145.4753,Unknown
