xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.1174316,-0.220459,1.07959,-0.07030535,-0.2715191,0.0,-3.768304,1.997351,-4.298886,-11.4756,6.083329,-13.02729,0.006347656,0.1530762,-0.4521484,0.3976259,0.2888396,-0.0310533,6.401217,-0.1299471,-58.19785,18.70197,-0.7618446,-161.2814,Unknown
-0.1083984,-0.2175293,1.094482,0.2045038,-0.3936565,0.03032825,-3.913687,2.062584,-4.462862,-11.18775,5.548349,-12.51999,0.007324219,0.1469727,-0.4448242,0.1991527,-0.2760458,-0.260061,6.64175,-0.14932,-60.27161,18.28156,-0.8956977,-161.6949,Unknown
-0.1159668,-0.222168,1.093994,-0.009236574,-0.8211374,0.1677328,-4.063893,2.127877,-4.629194,-11.41722,5.930763,-12.90273,0.003662109,0.1379395,-0.4443359,-0.3351984,0.0,-0.0310533,6.848905,-0.1553531,-62.32159,17.24586,-0.450977,-162.7479,Unknown
-0.1105957,-0.2163086,1.097412,0.2961069,-0.7906031,0.3967404,-4.200177,2.186634,-4.780431,-11.09571,5.646834,-12.48266,0.002441406,0.1474609,-0.4553223,-0.2130611,-0.550855,-0.2295268,7.067901,-0.1656491,-64.31936,17.94485,-0.2922681,-162.0526,Unknown
-0.112793,-0.2158203,1.085938,0.1587023,-0.08831299,0.3204046,-4.337634,2.258028,-4.933212,-11.18193,5.816909,-12.63926,0.0002441406,0.145752,-0.4541016,-0.4878702,-0.8561985,0.04528236,7.27527,-0.1755089,-66.27641,17.79495,-0.02933039,-162.205,Unknown
-0.1101074,-0.2163086,1.082764,0.3571756,0.171229,0.183,-4.470451,2.329279,-5.084556,-11.24102,5.694745,-12.63496,0.0009765625,0.1462402,-0.449707,0.2144198,-0.4287176,0.2437558,7.493196,-0.1806673,-68.187,18.01397,-0.1183216,-161.9856,Unknown
-0.1184082,-0.2172852,1.100342,-0.1619084,0.6139771,-0.1376107,-4.605582,2.412249,-5.238373,-11.10799,6.026489,-12.67428,0.0,0.1428223,-0.4443359,-0.1214581,-0.4592519,-0.0005190372,7.698043,-0.1833549,-70.06689,17.81889,-0.0,-162.1811,Unknown
-0.1103516,-0.2089844,1.086426,0.3266413,0.03382444,0.2288015,-4.725668,2.478389,-5.375914,-10.83398,5.696094,-12.27236,0.004150391,0.1501465,-0.454834,0.1380839,-0.1386412,0.091084,7.911472,-0.1916551,-71.89871,18.268,-0.4964632,-161.7248,Unknown
-0.112793,-0.2165527,1.100098,-0.1161069,0.5834427,0.01506107,-4.854453,2.55229,-5.518453,-11.07958,5.744594,-12.51394,0.004394531,0.1474609,-0.447998,0.4586947,0.05983204,-0.1989923,8.124353,-0.1976192,-73.69912,18.21842,-0.5338378,-161.7732,Unknown
-0.112793,-0.2124023,1.096191,0.3113741,-0.1493817,0.07612977,-4.970982,2.614413,-5.654446,-10.90976,5.768251,-12.37407,0.001220703,0.1479492,-0.4575195,0.1686182,-0.01650381,0.06054974,8.322574,-0.1968023,-75.4659,17.91972,-0.145454,-162.0797,Unknown
