sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.4475098,-0.854248,-0.2331543,1.509466,-1.045679,-0.1377096,-57.04954,26.22105,-1.295522,-59.42963,26.81104,0.019,-0.2167969,0.6010742,0.8925781,0.007694602,-0.2665329,0.2500153,32.33169,10.64936,0.5206879,33.20023,11.39067,0.019,0.4013672,0.2468262,0.2580566,-0.1533134,-0.07773995,-0.1018617,27.27332,-47.76993,-0.1011854,27.35133,-48.34067,0.019,NEUTRAL
-0.4475098,-0.8444824,-0.232666,1.417863,-0.6029313,-0.168244,-57.06657,26.22723,-1.298551,-59.15163,27.06187,0.018,-0.2172852,0.5913086,0.9123535,-0.08390844,-0.4039374,0.4179543,32.32819,10.65529,0.5282111,32.2306,11.30194,0.018,0.3999023,0.2470703,0.2536621,-0.2754507,0.1207333,-0.2698007,27.27403,-47.78192,-0.1060418,27.55201,-48.47604,0.018,NEUTRAL
-0.4533691,-0.8461914,-0.2358398,1.005649,-0.6639999,-0.2445798,-57.08492,26.23695,-1.302953,-58.87088,27.29853,0.018,-0.2084961,0.590332,0.9042969,0.1450992,-0.4802733,0.005740464,32.33341,10.65226,0.5283144,32.46122,10.92735,0.018,0.395752,0.2443848,0.2619629,-0.07697749,0.609283,-0.1018617,27.2721,-47.77247,-0.1078753,27.24525,-47.84678,0.018,NEUTRAL
-0.4501953,-0.8483887,-0.2387695,0.9140463,-0.6639999,0.1218324,-57.10727,26.24166,-1.30076,-59.00837,27.05809,0.018,-0.2102051,0.5795898,0.8952637,0.1603664,-0.5566092,0.1278779,32.334,10.6524,0.5306162,32.22142,11.14997,0.018,0.3962402,0.251709,0.2473145,-0.138046,0.3344737,-0.08659458,27.29062,-47.77738,-0.109434,28.3198,-48.31295,0.018,NEUTRAL
-0.4501953,-0.8483887,-0.2436523,1.173588,-0.6334655,-0.1529768,-57.1223,26.24611,-1.303514,-58.89407,27.02296,0.018,-0.2058105,0.6086426,0.9060059,0.2061679,-0.4039374,0.311084,32.35553,10.64579,0.5362157,33.22868,10.67853,0.018,0.3972168,0.2475586,0.2507324,-0.2754507,-0.1998774,-0.391938,27.29575,-47.79387,-0.1164889,27.79018,-48.42529,0.018,NEUTRAL
-0.4462891,-0.8571777,-0.2412109,1.860611,-0.5723969,-0.1835111,-57.13467,26.24347,-1.306817,-59.38169,26.61929,0.018,-0.2126465,0.5927734,0.9050293,0.1909007,-0.4344718,0.311084,32.36223,10.64761,0.5418152,32.52212,11.11992,0.018,0.3981934,0.2451172,0.2546387,-0.4281225,-0.1082743,-0.2545335,27.29051,-47.80804,-0.1210705,27.4113,-48.40706,0.018,NEUTRAL
-0.4533691,-0.8500977,-0.2355957,1.906413,-0.4655266,-0.5957249,-57.13821,26.2544,-1.31754,-58.9931,27.20054,0.018,-0.2114258,0.5935059,0.8981934,0.3283052,-0.4802733,0.2042138,32.37576,10.6484,0.545491,32.74905,11.11083,0.018,0.3981934,0.25,0.2585449,-0.4281225,-0.1082743,-0.1171288,27.29255,-47.81203,-0.1231788,27.77014,-47.9118,0.018,NEUTRAL
-0.4528809,-0.8461914,-0.2414551,1.143054,-0.2517862,-0.2751142,-57.15053,26.26953,-1.322492,-58.76262,27.23294,0.018,-0.2102051,0.5932617,0.8972168,0.6183816,-0.541342,0.2652825,32.39462,10.64704,0.5502662,32.7731,11.05777,0.018,0.4030762,0.2468262,0.2521973,-0.5044584,0.1512676,-0.08659458,27.2865,-47.82909,-0.1247375,27.43464,-48.79865,0.018,NEUTRAL
-0.4501953,-0.8479004,-0.2404785,0.7461073,-0.2975878,-0.1071752,-57.17343,26.28006,-1.324421,-58.95396,27.05823,0.018,-0.2028809,0.5932617,0.8981934,0.5267786,-0.6787467,0.1584122,32.41187,10.6356,0.5531176,32.79265,10.67361,0.018,0.3925781,0.2458496,0.2561035,-0.3823209,0.09019894,-0.08659458,27.28757,-47.82846,-0.1262962,27.67714,-47.87695,0.018,NEUTRAL
-0.4528809,-0.8452148,-0.2397461,0.5629013,-0.5571298,-0.07664084,-57.1955,26.29003,-1.325801,-58.773,27.27026,0.018,-0.2050781,0.5969238,0.9074707,0.4046412,-0.5718764,0.2347481,32.42446,10.62664,0.5573431,32.68459,10.69182,0.018,0.4006348,0.2478027,0.2561035,-0.3517866,0.2123364,-0.2392664,27.28613,-47.83508,-0.130603,27.52604,-48.34697,0.018,NEUTRAL
-0.454834,-0.8459473,-0.2385254,1.402596,-0.7403358,-0.3056486,-57.2016,26.29839,-1.331302,-58.73761,27.36088,0.018,-0.2097168,0.5947266,0.8984375,-0.007572532,-0.2970673,0.1584122,32.43198,10.62915,0.5601945,32.80694,11.01448,0.018,0.3996582,0.2409668,0.2487793,-0.2754507,0.5176799,-0.2087319,27.27767,-47.851,-0.1343602,27.10629,-49.08755,0.018,NEUTRAL
-0.4509277,-0.8427734,-0.239502,1.54,-0.5265954,-0.3514501,-57.20471,26.30729,-1.33798,-58.79089,27.23366,0.019,-0.2077637,0.5930176,0.9082031,-0.0686413,-0.2207314,0.4179543,32.43161,10.62933,0.5681356,32.47733,10.84344,0.019,0.3942871,0.2614746,0.2580566,-0.3517866,0.3039395,0.0508101,27.30607,-47.82879,-0.1333948,29.025,-47.02385,0.019,NEUTRAL
-0.4504395,-0.8474121,-0.2473145,1.448397,-0.4655266,-0.1071752,-57.21042,26.3136,-1.339909,-58.76752,27.03342,0.018,-0.2084961,0.5927734,0.9060059,0.1450992,-0.4039374,-3.368305,32.43597,10.62762,0.5075061,32.52181,10.9001,0.018,0.402832,0.2416992,0.2575684,-0.1075118,0.2734051,-0.05606031,27.29439,-47.84249,-0.1344039,26.81668,-48.75485,0.018,NEUTRAL
-0.4509277,-0.8493652,-0.220459,1.677405,-0.587664,-0.3361828,-57.225,26.32091,-1.34596,-59.41894,27.19736,0.018,-0.2043457,0.5991211,0.8996582,-0.007572532,-0.4039374,0.4790229,32.44711,10.62205,0.5161285,32.99977,10.70557,0.018,0.402832,0.2470703,0.2561035,0.01462555,0.3802752,-0.2239993,27.29607,-47.8498,-0.1384359,27.36553,-48.54317,0.018,NEUTRAL
-0.4489746,-0.8393555,-0.2365723,1.066718,-1.045679,0.07603085,-57.23853,26.32087,-1.344592,-58.84213,27.24146,0.018,-0.2092285,0.6047363,0.9050293,0.03822899,-0.3734031,4.433221,32.46014,10.62064,0.5959265,33.06511,10.88075,0.018,0.4042969,0.2421875,0.2575684,0.02989268,0.3192066,0.0966115,27.28675,-47.8638,-0.1366969,26.80375,-48.83107,0.018,NEUTRAL
