sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.432373,-0.8759766,0.01220703,-0.3454351,0.03166461,-0.2693135,-64.19833,26.28446,0.1314078,-63.72046,26.26826,0.019,-0.4675293,0.5092773,0.8505859,0.05383217,-0.7092821,-3.513557,28.00262,24.54295,0.8452785,27.68596,25.24802,0.019,0.4006348,0.1669922,0.3132324,0.2741077,0.1132213,-0.08308458,18.20736,-47.59978,-1.030711,18.1786,-48.45876,0.019,NEUTRAL
-0.4328613,-0.8847656,0.009521484,-0.6355114,0.1996036,-0.1013745,-64.2047,26.28385,0.1294817,-63.92487,26.06835,0.019,-0.4584961,0.512207,0.8422852,0.2675726,-0.7398165,0.2879697,28.00969,24.53718,0.8507499,28.10715,24.94318,0.019,0.4003906,0.1689453,0.326416,0.1061687,0.3422289,-0.4036953,18.20738,-47.59039,-1.038381,18.10995,-47.44906,0.019,NEUTRAL
-0.432373,-0.8808594,0.000244141,-0.5133741,0.2301379,-0.3761837,-64.20677,26.28512,0.1227104,-63.85571,26.14428,0.018,-0.4616699,0.5083008,0.8498535,0.3286414,-0.6176791,0.5475117,28.00979,24.53545,0.8606051,27.72473,24.99538,0.018,0.3974609,0.1577148,0.3195801,0.2435734,0.4032977,-0.4036953,18.19121,-47.59386,-1.045647,17.18374,-48.11942,0.018,NEUTRAL
-0.4331055,-0.8862305,0.005126953,-0.5286412,0.3980769,-0.08610737,-64.21103,26.28733,0.1211605,-63.95341,26.04462,0.018,-0.4599609,0.5146484,0.8527832,0.4049773,-0.7092821,0.5322445,28.01624,24.52796,0.8701855,27.97534,24.78693,0.018,0.3979492,0.1650391,0.3303223,-0.1839075,0.6323053,-0.4342296,18.17811,-47.57366,-1.053463,17.69854,-47.14177,0.018,NEUTRAL
-0.434082,-0.8813477,0.01196289,-0.5744426,0.3828096,-0.1777104,-64.21234,26.29272,0.1179617,-63.77017,26.21911,0.018,-0.4631348,0.5180664,0.8518066,0.3744429,-0.5871448,0.4711758,28.02486,24.52538,0.8786667,28.11671,24.91666,0.018,0.4038086,0.1657715,0.3183594,-0.4129152,0.5559694,-0.2052221,18.16463,-47.57973,-1.057157,17.86826,-48.36709,0.018,NEUTRAL
-0.4345703,-0.888916,0.009277344,-0.5744426,0.3828096,-0.1777104,-64.21706,26.29465,0.1147629,-63.94192,26.0517,0.018,-0.4584961,0.5170898,0.855957,0.5271146,-0.6024118,0.3185041,28.03439,24.51686,0.8843997,28.03628,24.63079,0.018,0.401123,0.1738281,0.3203125,-0.3518465,0.3727633,-0.2357564,18.16929,-47.57642,-1.061401,18.70782,-47.74333,0.018,NEUTRAL
-0.4284668,-0.8898926,-0.01489258,-0.5133741,0.1232677,-0.1929776,-64.22731,26.28507,0.1112893,-64.27652,25.70682,0.018,-0.4550781,0.5227051,0.8508301,0.3439085,-0.6176791,0.1047636,28.04868,24.50564,0.8862855,28.44558,24.50027,0.018,0.3981934,0.1682129,0.3234863,-0.4129152,0.2200916,-0.3884282,18.16168,-47.57143,-1.068393,18.15329,-47.52105,0.018,NEUTRAL
-0.4375,-0.8833008,0.000488281,-0.2080305,0.4591455,0.3261063,-64.21965,26.2949,0.1174854,-63.65071,26.34927,0.019,-0.4489746,0.5134277,0.8605957,0.06909943,-0.5413432,0.1963667,28.04651,24.48812,0.8900165,27.87619,24.13368,0.019,0.3967285,0.1704102,0.3244629,-0.6113884,0.4796335,-0.5258327,18.1549,-47.55645,-1.078384,18.39192,-47.26876,0.019,NEUTRAL
-0.4331055,-0.8901367,-0.006103516,-0.1164274,0.1690692,-0.147176,-64.21835,26.29089,0.1148362,-64.05202,25.9452,0.018,-0.4558105,0.5258789,0.8498535,-0.3736488,-0.4192058,0.39484,28.05107,24.4813,0.8971235,28.60394,24.51699,0.018,0.4016113,0.1689453,0.3237305,-0.672457,1.472,-0.8769777,18.14263,-47.53378,-1.094169,18.13433,-47.72149,0.018,NEUTRAL
-0.4343262,-0.8913574,-0.004150391,-0.6660457,0.2454051,0.005495667,-64.22614,26.28897,0.1149351,-64.02067,25.97805,0.018,-0.447998,0.5161133,0.8530273,-0.4957861,-0.5718775,0.04369492,28.04483,24.46551,0.89791,28.17607,24.19637,0.018,0.4008789,0.1657715,0.3288574,-0.03123569,0.4949008,-0.5410998,18.13382,-47.52292,-1.103909,17.72951,-47.42718,0.018,NEUTRAL
