sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.6064453,-0.7780762,-0.09692383,-0.158565,0.3434198,0.117923,-51.51046,38.42634,2.168191,-51.71568,37.71975,0.019,-0.6855469,0.4562988,0.6906738,-0.1826868,-0.02097774,0.1654044,24.86962,39.63531,0.07732351,25.12152,39.63031,0.019,0.5029297,0.135498,0.03686523,-0.3309634,0.3856492,0.1008852,15.52788,-73.71439,-0.3513001,15.03995,-74.39968,0.019,NEUTRAL
-0.6071777,-0.7648926,-0.09033203,-0.2043667,0.1754808,-0.1721532,-51.50908,38.42607,2.16492,-51.2514,38.24975,0.019,-0.6782227,0.4523926,0.6760254,-0.1979541,0.07062531,0.07380134,24.87429,39.64034,0.07872574,25.28716,39.82069,0.019,0.4846191,0.1394043,0.05151367,0.3865938,0.2329775,0.2382896,15.54378,-73.69479,-0.3467726,15.96296,-72.95084,0.019,NEUTRAL
-0.6032715,-0.7617188,-0.09326172,-0.5555117,0.3892213,-0.004214287,-51.51508,38.42823,2.16484,-51.29148,38.17149,0.019,-0.6826172,0.4433594,0.6901855,-0.06054938,0.1469612,0.3180761,24.86662,39.64557,0.08476919,24.54743,39.76506,0.019,0.5014648,0.1311035,0.04174805,0.4629297,0.003969848,0.1924882,15.53359,-73.71396,-0.3431153,14.60318,-74.65697,0.019,NEUTRAL
-0.6035156,-0.7666016,-0.09887695,-1.089863,0.7250992,-0.3095579,-51.53344,38.43282,2.158958,-51.41864,37.98248,0.019,-0.6826172,0.4448242,0.6801758,-0.04528224,0.2232971,0.1959387,24.86402,39.65737,0.08849203,24.7784,40.0276,0.019,0.4980469,0.1408691,0.04541016,0.5545328,0.1261073,-0.06705379,15.54786,-73.70632,-0.3443893,15.73119,-73.44933,0.019,NEUTRAL
-0.6091309,-0.7648926,-0.09301758,-1.044061,0.8319694,0.05685437,-51.54512,38.44621,2.160039,-51.14532,38.32768,0.019,-0.6889648,0.4516602,0.6901855,0.0463208,0.3607017,0.4096792,24.86461,39.66836,0.09627593,24.85088,39.87119,0.019,0.4970703,0.1396484,0.04370117,0.1881206,-0.3471752,0.02454925,15.55311,-73.71059,-0.3439229,15.63499,-73.59672,0.019,NEUTRAL
-0.6223145,-0.7661133,-0.1013184,-1.364672,0.9541069,0.2400604,-51.55054,38.47193,2.1646,-50.54575,38.84411,0.019,-0.6860352,0.4399414,0.6845703,0.1837254,0.2843658,0.0890685,24.85905,39.68294,0.09796824,24.41513,40.13279,0.019,0.4855957,0.1418457,0.05249023,0.3713267,-0.1029004,0.3604271,15.57284,-73.69229,-0.3370748,16.19408,-72.7,0.019,NEUTRAL
-0.605957,-0.763916,-0.08959961,-0.7387178,0.8930382,0.4843353,-51.55807,38.48288,2.173318,-51.27564,38.2319,0.018,-0.6845703,0.4436035,0.6950684,0.6570078,0.02482378,0.1196029,24.86249,39.68372,0.1001211,24.45164,39.7002,0.018,0.4995117,0.1455078,0.03979492,0.5697999,-0.331908,0.5589004,15.59528,-73.68822,-0.3270146,16.19224,-73.1958,0.018,NEUTRAL
-0.605957,-0.7653809,-0.09960938,-0.6623819,0.7403664,0.1331903,-51.56442,38.48971,2.175848,-51.25881,38.13496,0.019,-0.6872559,0.454834,0.6918945,1.191359,-0.03624487,0.01273263,24.8875,39.68324,0.100363,25.00411,39.69316,0.019,0.494873,0.1384277,0.05297852,1.455296,1.820764,-0.9525501,15.62134,-73.64709,-0.345113,15.54308,-73.32652,0.019,NEUTRAL
-0.6169434,-0.7629395,-0.1086426,0.1467783,0.4044886,0.3621979,-51.54263,38.50104,2.18273,-50.61118,38.6795,0.019,-0.6835938,0.4494629,0.6982422,-0.09108377,0.7118467,-0.2620765,24.88208,39.69206,0.09538356,24.70093,39.46166,0.019,0.5019531,0.1367188,0.02685547,-0.5599709,-0.5303813,-0.06705379,15.60279,-73.67375,-0.346387,15.2155,-74.48649,0.019,NEUTRAL
-0.604248,-0.7602539,-0.09643555,0.5742593,0.5113587,0.08738875,-51.52506,38.50514,2.184303,-51.17094,38.25506,0.018,-0.6882324,0.4501953,0.6904297,-0.2284883,0.4675718,-0.2620765,24.87616,39.7037,0.09066618,24.78768,39.86161,0.018,0.5007324,0.140625,0.06103516,-0.2698948,-0.2708393,0.4520302,15.59752,-73.66461,-0.3382505,15.57716,-72.97802,0.018,NEUTRAL
-0.6020508,-0.7631836,-0.09667969,-0.8150537,0.9999084,0.117923,-51.53726,38.5146,2.186544,-51.37605,38.0472,0.019,-0.6853027,0.4445801,0.6870117,0.2905956,-0.2652525,-0.1857407,24.87635,39.70358,0.08713711,24.61505,39.94475,0.019,0.4938965,0.1450195,0.04663086,-0.8347802,-0.2555721,0.9405796,15.59592,-73.65325,-0.3203795,16.29487,-72.8587,0.019,NEUTRAL
-0.6025391,-0.7736816,-0.09887695,-0.6318476,0.6792977,-0.1721532,-51.55204,38.51003,2.183445,-51.71911,37.68649,0.018,-0.689209,0.4489746,0.6962891,1.02342,0.1622283,-0.3536796,24.88929,39.7075,0.08077087,24.62075,39.75656,0.018,0.5031738,0.1403809,0.04980469,1.409495,-0.1945034,-0.05178666,15.6192,-73.65381,-0.3213116,15.51647,-73.50973,0.018,NEUTRAL
-0.6174316,-0.7697754,-0.09863281,-0.3112369,0.1907481,-0.1416189,-51.54508,38.51348,2.180754,-50.91431,38.50537,0.019,-0.6738281,0.4631348,0.6948242,1.176092,0.5744421,-0.6437559,24.92482,39.70208,0.06853951,25.57092,38.90183,0.019,0.4990234,0.1408691,0.04101563,1.241556,0.187176,0.3451598,15.6442,-73.64957,-0.3147536,15.71346,-73.61604,0.019,NEUTRAL
-0.6115723,-0.7629395,-0.09936523,0.2383814,0.3128855,-0.2484891,-51.52813,38.51865,2.176033,-50.91955,38.48072,0.019,-0.6948242,0.4523926,0.6911621,0.2142597,0.7881826,-0.1552063,24.92588,39.72408,0.06559059,24.77826,40.06844,0.019,0.5029297,0.140625,0.04370117,1.226289,0.538321,0.8489766,15.66547,-73.64014,-0.298623,15.56582,-73.67986,0.019,NEUTRAL
-0.6103516,-0.7568359,-0.08544922,-0.08222938,0.03807628,0.1331903,-51.51589,38.5231,2.17843,-50.84351,38.7073,0.018,-0.6928711,0.4436035,0.6904297,0.2142597,0.07062531,0.0890685,24.91904,39.73433,0.06719382,24.39506,40.17402,0.018,0.5039063,0.1433105,0.04589844,0.05071592,-0.5456485,0.2688241,15.66932,-73.64442,-0.2937842,15.81354,-73.37283,0.018,NEUTRAL
-0.6081543,-0.7573242,-0.08886719,0.1773126,0.2670839,-0.2484891,-51.50104,38.5291,2.173709,-50.93865,38.57439,0.019,-0.6882324,0.4492188,0.7001953,0.5043361,-0.6774663,0.394412,24.92178,39.71904,0.07468765,24.58621,39.60075,0.019,0.5039063,0.1384277,0.05200195,0.2949908,-0.6372515,-0.00598526,15.6671,-73.6563,-0.2938979,15.28342,-73.64549,0.019,NEUTRAL
-0.611084,-0.7561035,-0.104248,-0.2654355,0.5876946,-0.1721532,-51.48901,38.54309,2.170438,-50.65244,38.68172,0.019,-0.6818848,0.4680176,0.6757813,0.2295269,-0.7690693,0.6081524,24.9474,39.70387,0.08624255,25.9895,39.67642,0.019,0.4980469,0.1408691,0.03759766,0.06598306,0.4161836,-0.1281226,15.67,-73.64909,-0.2963323,15.75061,-73.68292,0.019,NEUTRAL
-0.6115723,-0.7619629,-0.08789063,-0.6013131,0.9235724,-0.3858937,-51.48908,38.55986,2.163492,-50.96232,38.56678,0.018,-0.6855469,0.4472656,0.6901855,0.4280002,-0.5247945,0.6692212,24.94984,39.69679,0.09828853,24.69172,39.81308,0.018,0.4980469,0.1401367,0.03979492,0.1728532,0.6299241,0.2382896,15.673,-73.63891,-0.2920431,15.66767,-73.69593,0.018,NEUTRAL
-0.6108398,-0.7561035,-0.1000977,-0.7997866,0.6792977,-0.1110846,-51.48808,38.57513,2.161381,-50.6944,38.69092,0.019,-0.6772461,0.4499512,0.6923828,0.3363971,-0.5247945,0.5470838,24.95547,39.68023,0.1086831,24.91816,39.35746,0.019,0.4956055,0.1396484,0.05126953,0.325525,0.5077867,-0.0975883,15.67874,-73.62252,-0.2938972,15.657,-73.29219,0.019,NEUTRAL
-0.6083984,-0.7573242,-0.0949707,-0.2807026,0.618229,-0.1263517,-51.48126,38.58631,2.158981,-50.88608,38.55868,0.019,-0.6789551,0.4467773,0.6955566,0.4585345,-0.219451,0.5470838,24.95861,39.67046,0.1190777,24.68581,39.39619,0.019,0.4919434,0.1345215,0.04272461,-0.1630244,0.4009165,0.03981638,15.66691,-73.62244,-0.2931407,15.23892,-73.99131,0.019,NEUTRAL
-0.6083984,-0.7597656,-0.1000977,-0.7692521,0.2212824,-0.08055019,-51.484,38.58742,2.157531,-50.9394,38.44644,0.018,-0.6813965,0.4487305,0.6936035,0.3363971,0.1164268,0.4554807,24.96085,39.66945,0.1272764,24.77378,39.51694,0.018,0.4956055,0.1350098,0.04467773,-0.117223,0.1566416,0.9558468,15.6551,-73.62701,-0.2759355,15.1797,-73.98957,0.018,NEUTRAL
-0.6105957,-0.7507324,-0.09814453,-0.2196338,0.06861067,-0.2637563,-51.46879,38.59465,2.152519,-50.51923,38.88517,0.019,-0.6772461,0.4492188,0.6901855,0.2753284,0.3912359,0.2722746,24.96512,39.67202,0.1324496,24.918,39.43384,0.019,0.4995117,0.1386719,0.05517578,-0.3920321,0.1719088,-0.00598526,15.64322,-73.61857,-0.2760492,15.42613,-73.36475,0.019,NEUTRAL
-0.6115723,-0.762207,-0.09887695,0.07044244,0.4655572,0.02631998,-51.4561,38.60116,2.152993,-50.89615,38.50937,0.018,-0.6860352,0.4509277,0.6901855,0.3363971,0.4523047,0.2875418,24.96899,39.68185,0.1376253,24.86179,39.7648,0.018,0.4985352,0.144043,0.05566406,1.195754,0.6451912,0.4214957,15.67187,-73.59061,-0.2684623,16.02132,-72.78931,0.018,NEUTRAL
-0.6066895,-0.7646484,-0.09765625,-0.8455879,0.9083053,-0.2790235,-51.46699,38.61012,2.147692,-51.21339,38.20381,0.019,-0.6901855,0.4663086,0.6899414,0.1226567,0.1927627,0.07380134,24.98269,39.68485,0.1390276,25.53966,39.65223,0.019,0.4973145,0.1418457,0.0402832,0.401861,1.149008,-0.2502599,15.68332,-73.5671,-0.2732172,15.87004,-73.48479,0.019,NEUTRAL
-0.5949707,-0.7614746,-0.09570313,-0.7387178,0.6640306,-0.2637563,-51.48353,38.60532,2.142944,-51.64248,37.78432,0.018,-0.6853027,0.4575195,0.6816406,0.3821986,0.2385643,0.02799979,24.99638,39.69245,0.1395316,25.33003,39.85406,0.018,0.5024414,0.1367188,0.03613281,-0.1935589,-0.4845798,0.3756943,15.66993,-73.58992,-0.2664547,15.18474,-74.28067,0.018,NEUTRAL
-0.6044922,-0.767334,-0.09814453,-1.670016,0.8625038,-0.3858937,-51.51309,38.60936,2.135612,-51.4067,38.00466,0.019,-0.6831055,0.4470215,0.6806641,0.5654048,0.2843658,0.1196029,25.00439,39.70373,0.141804,24.87034,39.99184,0.019,0.4963379,0.1323242,0.0480957,0.02018166,0.5841226,0.8337095,15.65414,-73.59051,-0.2506143,14.8614,-74.16321,0.019,NEUTRAL
-0.6000977,-0.7563477,-0.08959961,-0.677649,0.969374,-0.1874204,-51.52004,38.61897,2.132238,-51.26306,38.23478,0.018,-0.6813965,0.4533691,0.6831055,0.5501376,0.3301673,0.1501372,25.01737,39.71008,0.1445065,25.16817,39.73029,0.018,0.4987793,0.142334,0.04248047,0.4781969,-0.1792362,0.6657705,15.66694,-73.59019,-0.2386304,15.87232,-73.4163,0.018,NEUTRAL
