sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.3811035,-0.8398438,-0.392334,-1.143604,0.1061991,0.02937317,-57.44741,22.25399,-0.8258552,-56.92522,22.34906,0.019,-0.2241211,0.7685547,0.7214355,0.08283985,-0.0144732,-3.591115,45.07554,12.08887,0.8827761,45.49279,12.00329,0.019,0.3937988,0.1640625,0.3222656,0.2018616,0.4977406,0.05260968,18.08248,-47.23963,1.246199,17.87012,-47.43888,0.019,NEUTRAL
-0.3803711,-0.8327637,-0.3825684,-1.021466,0.3657411,0.01410604,-57.45776,22.26619,-0.8256013,-57.06398,22.54114,0.018,-0.234375,0.7653809,0.7236328,-0.2530379,-0.1366106,0.2867479,45.07312,12.09557,0.8879375,45.17793,12.54473,0.018,0.3952637,0.1682129,0.3168945,0.09499145,0.3908704,-0.2832682,18.08986,-47.24335,1.2411,18.36798,-47.77063,0.018,NEUTRAL
-0.3808594,-0.8381348,-0.3996582,-1.448947,0.2741381,0.01410604,-57.46814,22.27201,-0.8253332,-56.62758,22.30186,0.019,-0.2236328,0.7663574,0.7387695,-0.4820457,0.06186259,-0.1254658,45.05857,12.09211,0.8855536,44.79446,11.86469,0.019,0.4023438,0.1682129,0.3366699,0.4919381,0.1160612,0.2816174,18.09278,-47.23456,1.246451,17.77777,-46.9116,0.019,NEUTRAL
-0.3798828,-0.8320313,-0.3798828,-1.448947,0.1520007,0.1667777,-57.48734,22.28034,-0.8223312,-57.15001,22.55462,0.018,-0.2248535,0.7641602,0.7285156,-0.2377708,0.1076641,0.02720592,45.05451,12.09262,0.8860434,45.06507,12.02285,0.018,0.3950195,0.1691895,0.326416,0.2934647,0.1465955,-0.3748713,18.10153,-47.22838,1.239703,18.27161,-47.05463,0.018,NEUTRAL
-0.3740234,-0.8422852,-0.3762207,-1.403146,0.2436037,0.07517469,-57.51825,22.28043,-0.8209781,-57.79562,22.0701,0.018,-0.2197266,0.7661133,0.7346191,-0.1461678,0.1229314,0.04247311,45.05035,12.08685,0.8868078,44.97524,11.6958,0.018,0.3979492,0.171875,0.3205566,0.4614036,0.1618627,-0.3748713,18.11945,-47.23241,1.232955,18.59041,-47.57255,0.018,NEUTRAL
-0.3818359,-0.8352051,-0.3793945,-0.9145961,0.1825351,0.1057091,-57.528,22.29003,-0.8190754,-57.19898,22.59921,0.018,-0.2282715,0.7626953,0.7297363,0.08283985,0.07712984,-0.003328413,45.04937,12.09053,0.8867479,44.92831,12.2026,0.018,0.4025879,0.1713867,0.3225098,0.4614036,0.5435421,-0.06952763,18.13278,-47.23389,1.231704,18.379,-47.78625,0.018,NEUTRAL
-0.3837891,-0.8366699,-0.387207,-1.219939,0.1978022,0.273648,-57.53838,22.29994,-0.8138761,-56.91136,22.60152,0.019,-0.2255859,0.7661133,0.7258301,-0.2988395,-0.04500759,0.4088853,45.04735,12.08919,0.8945168,45.22658,12.06569,0.019,0.3981934,0.1652832,0.3261719,0.1560602,0.360336,-0.03899336,18.12907,-47.23128,1.230963,17.8022,-47.43888,0.019,NEUTRAL
-0.380127,-0.8393555,-0.3876953,-1.723756,0.5489473,0.0446403,-57.56007,22.31062,-0.8130725,-57.10215,22.34954,0.018,-0.2307129,0.7587891,0.7236328,-0.2072364,-0.0144732,0.2409464,45.04219,12.09534,0.8988538,44.97236,12.40936,0.018,0.3991699,0.1708984,0.3259277,0.9652205,0.3450689,-0.3596041,18.15046,-47.22708,1.22449,18.34701,-47.32545,0.018,NEUTRAL
-0.3803711,-0.8366699,-0.3930664,-0.9145961,-0.03120542,0.0446403,-57.5624,22.31115,-0.8122243,-56.82518,22.3661,0.019,-0.2253418,0.7570801,0.720459,0.05230558,0.1534656,0.05774027,45.04399,12.09965,0.8999509,45.08346,12.1677,0.019,0.3952637,0.1694336,0.3232422,1.072091,0.1923971,0.2510829,18.17455,-47.22461,1.229261,18.3573,-47.28296,0.019,NEUTRAL
-0.3779297,-0.8291016,-0.3813477,-1.54055,0.3962755,-0.001161218,-57.57981,22.32183,-0.8122453,-57.07439,22.49566,0.018,-0.2260742,0.7634277,0.7255859,0.08283985,0.4130076,0.02720592,45.04716,12.10723,0.9004406,45.1293,12.11461,0.018,0.3937988,0.1662598,0.3220215,1.041556,0.07025969,0.2663503,18.19142,-47.22642,1.234055,18.09909,-47.37697,0.018,NEUTRAL
