sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.5556641,-0.7861328,-0.1713867,0.110687,-0.1805795,-0.04140496,-53.12877,34.48233,0.005888261,-53.51003,34.62937,0.019,-0.6069336,0.4760742,0.765625,0.2023821,-0.5128851,0.04079375,26.32464,33.20656,0.0965455,25.97888,33.9483,0.019,0.373291,0.215332,0.3305664,-0.2513275,0.9181681,0.1626856,22.77353,-43.75266,0.3262196,23.35745,-43.41661,0.019,NEUTRAL
-0.5563965,-0.7905273,-0.1645508,0.3244275,-0.0889765,-0.02613771,-53.13492,34.4825,0.005417782,-53.72266,34.56917,0.018,-0.5939941,0.4765625,0.770752,0.1260462,-0.4670836,0.1629312,26.32224,33.19908,0.09947825,26.0931,33.24441,0.018,0.3850098,0.2102051,0.3256836,-0.3734651,0.8570994,-0.02052045,22.76404,-43.7586,0.3258502,22.62826,-44.80579,0.018,NEUTRAL
-0.5566406,-0.7878418,-0.1674805,0.2328244,0.002626538,0.004396558,-53.13947,34.48586,0.005501317,-53.57912,34.64817,0.019,-0.5979004,0.4799805,0.751709,0.3550538,-0.4518165,0.04079375,26.33345,33.20343,0.1002533,26.5523,33.83723,0.019,0.3706055,0.2060547,0.3325195,-0.06812143,0.4448856,-0.1121235,22.75712,-43.74419,0.3237199,22.48156,-43.45235,0.019,NEUTRAL
-0.5539551,-0.7885742,-0.1699219,0.5229008,-0.2111139,0.4471447,-53.14079,34.48177,0.01399707,-53.69221,34.47797,0.019,-0.5959473,0.4814453,0.7768555,0.03444314,-0.4212821,0.05606092,26.3311,33.19365,0.1013185,26.18413,33.1068,0.019,0.376709,0.2145996,0.3203125,0.02348161,0.1853436,-0.1426578,22.77162,-43.75255,0.3210094,23.46041,-44.33508,0.019,NEUTRAL
-0.5598145,-0.793457,-0.173584,0.5229008,-0.302717,0.03493094,-53.1397,34.47832,0.01462582,-53.54755,34.57608,0.018,-0.5922852,0.4743652,0.7712402,-0.3319691,-0.6655569,0.04079375,26.3187,33.18185,0.1020528,26.00386,33.19014,0.018,0.3745117,0.2050781,0.3259277,-0.3581977,0.5364886,-0.06632185,22.75875,-43.7521,0.3198156,22.44395,-44.20295,0.018,NEUTRAL
-0.5634766,-0.7937012,-0.157959,1.316794,-0.39432,-0.01087058,-53.11404,34.4753,0.01433232,-53.59855,34.84874,0.027,-0.6088867,0.4794922,0.777832,-0.4235722,-0.4518165,4.178198,26.29897,33.17981,0.2148641,25.8924,33.67797,0.027,0.3776855,0.2058105,0.3295898,-0.892549,0.8723665,-0.1121235,22.7264,-43.73769,0.3167883,22.32182,-44.18611,0.027,NEUTRAL
-0.5595703,-0.7922363,-0.1696777,0.8282443,-0.3637857,-0.1788095,-53.10854,34.47199,0.01111375,-53.56987,34.63107,0.018,-0.5883789,0.4750977,0.7709961,-0.4235722,-0.4365492,0.2545342,26.28749,33.16875,0.2194458,26.09852,33.01159,0.018,0.3754883,0.2099609,0.329834,-0.6940756,0.4601529,-0.005253315,22.71538,-43.73165,0.3166937,22.78753,-43.84129,0.018,NEUTRAL
-0.5578613,-0.7927246,-0.1711426,0.3854963,-0.4095871,-0.08720648,-53.11244,34.46579,0.009544031,-53.64329,34.52324,0.018,-0.5852051,0.472168,0.7670898,-0.2098317,-0.1464729,-3.577527,26.27957,33.16301,0.1550503,26.07624,33.01093,0.018,0.3710938,0.2041016,0.3273926,-0.4956026,0.07847345,0.08634973,22.70059,-43.73337,0.318248,22.41294,-43.88673,0.018,NEUTRAL
-0.5581055,-0.7924805,-0.1682129,0.4160305,-0.3179841,-0.0566721,-53.11572,34.46181,0.008467262,-53.66389,34.56308,0.019,-0.5913086,0.4787598,0.7524414,-0.1792973,-0.08540428,0.04079375,26.2822,33.16906,0.1558254,26.57793,33.5452,0.019,0.3779297,0.2077637,0.3303223,-0.3734651,0.2769467,-0.02052045,22.68934,-43.7352,0.3178581,22.48571,-44.0827,0.019,NEUTRAL
-0.5585938,-0.7858887,-0.1633301,0.6755725,-0.562259,-0.2704126,-53.1104,34.4588,0.003329423,-53.47855,34.83442,0.019,-0.6079102,0.4812012,0.765625,-0.3167019,0.02146602,0.1171296,26.2748,33.18431,0.1580508,26.20725,33.91109,0.019,0.3747559,0.2033691,0.3361816,-0.6940756,0.6738934,-0.1579249,22.66255,-43.72086,0.3148575,21.99637,-43.6454,0.019,NEUTRAL
