sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.3569336,-0.9084473,0.1247559,1.470779,-0.7114812,-1.129374,-66.32247,21.14391,-0.5799903,-67.40227,21.26856,0.018,-0.4528809,0.4978027,0.861084,-0.9149002,0.7103811,-3.612122,26.96844,23.66125,0.08884832,27.09702,24.48118,0.018,0.3469238,0.314209,0.2492676,0.722564,-1.002259,1.271204,35.33849,-40.21915,-0.5633697,36.33548,-40.85927,0.018,NEUTRAL
-0.3737793,-0.9067383,0.1240234,0.9211602,-0.8794202,-0.854565,-66.31024,21.14985,-0.5953724,-66.52354,22.21615,0.018,-0.4560547,0.5019531,0.8605957,-0.9454345,0.4966407,0.7084886,26.9577,23.68871,0.1016011,27.26522,24.59621,0.018,0.3496094,0.3166504,0.2504883,0.6004264,-1.032794,1.286471,35.36956,-40.25078,-0.5402132,36.36253,-40.88966,0.018,NEUTRAL
-0.3527832,-0.9001465,0.114502,0.3104732,-0.5893439,-0.8087635,-66.32825,21.13674,-0.6164003,-67.60619,21.24532,0.026,-0.4509277,0.5014648,0.8681641,-0.05993819,-0.3888555,0.9985649,26.95981,23.68936,0.1275638,27.13945,24.21656,0.026,0.3544922,0.3129883,0.2485352,0.9210372,-0.4831755,0.8895245,35.40294,-40.28952,-0.5170856,35.86474,-41.57224,0.026,NEUTRAL
-0.3647461,-0.9074707,0.1157227,0.463145,-0.7878171,-0.4576185,-66.33623,21.13486,-0.6246374,-67.13574,21.73758,0.018,-0.4460449,0.4990234,0.8603516,0.04693198,-0.4041227,0.9985649,26.96635,23.69154,0.145538,27.24544,24.15464,0.018,0.3508301,0.314209,0.2536621,1.027907,-0.1167632,0.8895245,35.43243,-40.30545,-0.5010742,35.9713,-40.9833,0.018,NEUTRAL
-0.3657227,-0.90625,0.1235352,0.4478778,-1.123695,0.01566398,-66.34016,21.12823,-0.6243555,-66.92809,21.7944,0.018,-0.4470215,0.5058594,0.8701172,0.5507488,0.2523658,0.8916946,26.98362,23.70112,0.1615885,27.34428,23.94813,0.018,0.3486328,0.310791,0.2590332,1.638595,-0.1930991,0.8284557,35.46442,-40.31778,-0.486162,35.58612,-40.75161,0.018,NEUTRAL
-0.3615723,-0.9138184,0.1242676,0.3868091,-1.154229,0.1836029,-66.35246,21.11347,-0.6210506,-67.29613,21.40833,0.018,-0.4431152,0.5053711,0.8706055,0.2148709,0.7561826,0.8916946,26.99482,23.71561,0.177639,27.35383,23.75842,0.018,0.3435059,0.3056641,0.2521973,1.653862,0.1733131,0.7673872,35.49732,-40.32677,-0.4723491,35.651,-40.91995,0.018,NEUTRAL
-0.3564453,-0.9077148,0.1152344,0.05093122,-1.062626,0.2904731,-66.37601,21.09813,-0.6158221,-67.5743,21.28378,0.018,-0.4475098,0.4970703,0.871582,-0.3347474,1.275267,0.6474199,26.98703,23.74454,0.1892925,26.90056,24.03737,0.018,0.3447266,0.3081055,0.2543945,1.745465,0.4786566,0.5994482,35.5326,-40.32752,-0.461559,35.72175,-40.78672,0.018,NEUTRAL
-0.3635254,-0.911377,0.1235352,-0.2238779,-1.47484,0.09199989,-66.39555,21.08149,-0.6141662,-67.15543,21.56692,0.018,-0.4414063,0.5085449,0.8623047,-0.3500146,1.244732,0.1283359,26.99508,23.76748,0.1916026,27.69806,23.79385,0.018,0.3486328,0.3112793,0.2431641,1.60806,0.5397253,0.9353261,35.57464,-40.3401,-0.4447231,36.21619,-41.43222,0.018,NEUTRAL
-0.3635254,-0.9165039,0.1206055,0.3257403,-1.520641,0.1988701,-66.40829,21.06238,-0.6105865,-67.3198,21.46739,0.018,-0.4477539,0.5021973,0.8601074,-0.5942894,1.702747,0.1436031,26.99229,23.8063,0.1941875,27.37978,24.20671,0.018,0.3447266,0.3110352,0.2492676,1.531724,0.1275116,0.9658604,35.61361,-40.34814,-0.4273376,36.17233,-40.85509,0.018,NEUTRAL
-0.3647461,-0.9145508,0.1079102,0.7837557,-1.871786,0.107267,-66.41463,21.04026,-0.6086556,-67.41692,21.60742,0.018,-0.4438477,0.5039063,0.8681641,-0.8690986,1.947022,-0.1159389,26.98371,23.84159,0.1921005,27.3301,23.85328,0.018,0.34375,0.3112793,0.2607422,1.730198,-0.9717251,1.622349,35.64805,-40.36332,-0.3981353,35.8093,-40.24987,0.018,NEUTRAL
