xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.229248,-0.6516113,0.854248,-1.841298,1.08726,-1.191046,-38.13304,12.137,-41.2119,-36.37988,12.04475,-38.95969,-0.3623047,-0.1950684,-0.2041016,0.5044961,0.9453281,-0.9928856,-26.72647,49.28929,-117.585,-25.13108,52.07229,-116.3822,S_LF
-0.2436523,-0.6577148,0.8483887,-2.680992,1.331534,-1.878069,-38.14098,12.16828,-41.20507,-36.69094,12.78804,-39.58183,-0.355957,-0.1970215,-0.2182617,0.8556412,1.265939,-1.252428,-26.68458,49.33096,-117.6159,-25.26062,50.44206,-118.2124,S_LF
-0.2607422,-0.677002,0.8188477,-3.169542,1.316267,-2.733031,-38.18937,12.22004,-41.25195,-38.231,13.78853,-41.54012,-0.3474121,-0.2104492,-0.2236328,2.290756,1.571282,-1.069221,-26.65706,49.33795,-117.656,-26.99232,48.52595,-118.836,S_LF
-0.2329102,-0.7114258,0.8171387,-2.31458,2.751382,-3.664328,-38.25838,12.25873,-41.33063,-39.93886,12.13239,-42.49281,-0.3427734,-0.2224121,-0.2297363,4.077015,1.540748,-0.1226563,-26.63048,49.31363,-117.6916,-28.32453,46.98948,-119.3465,S_LF
-0.2294922,-0.7224121,0.8122559,-0.4825191,2.583443,-4.061275,-38.3115,12.28995,-41.42413,-40.5597,11.92112,-43.02064,-0.3466797,-0.2280273,-0.2277832,5.099916,0.1514351,2.197954,-26.60385,49.27117,-117.6829,-28.79794,47.08651,-118.7642,S_LF
-0.2231445,-0.7106934,0.8222656,2.265573,1.881153,-3.358985,-38.31084,12.30201,-41.48521,-39.83288,11.60252,-42.17386,-0.357666,-0.2333984,-0.2319336,4.183886,-0.8561985,3.007114,-26.5843,49.2209,-117.6552,-28.70152,47.38696,-118.5048,S_LF
-0.2275391,-0.7041016,0.8310547,3.563282,0.7208474,-2.183412,-38.27733,12.30256,-41.52123,-39.25443,11.7994,-41.68124,-0.3649902,-0.2419434,-0.2290039,2.367092,-1.665359,2.884977,-26.60411,49.16425,-117.6118,-29.31443,47.61251,-117.6078,S_LF
-0.2148438,-0.7011719,0.840332,3.807557,-0.3325878,-0.595626,-38.23485,12.27374,-41.52178,-38.95195,11.1062,-41.11084,-0.3603516,-0.2338867,-0.2272949,0.7029693,-1.146275,2.197954,-26.63769,49.1223,-117.5871,-28.76542,47.85317,-117.8826,S_LF
-0.2067871,-0.6962891,0.8432617,3.135802,-0.02724427,0.9921603,-38.20169,12.24205,-41.49253,-38.72783,10.70778,-40.74009,-0.362793,-0.2294922,-0.2260742,-0.2283282,0.05983204,1.297191,-26.67289,49.10866,-117.5717,-28.22979,48.39642,-117.7726,S_LF
-0.204834,-0.6843262,0.838623,2.158702,-0.01197708,2.228802,-38.17401,12.21135,-41.4384,-38.40416,10.71596,-40.42377,-0.362793,-0.2248535,-0.2199707,-1.037488,1.632351,0.8086412,-26.71314,49.13195,-117.5537,-27.92252,49.0733,-117.2651,S_LF
