xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.08569336,-0.1408691,-0.4438477,-0.1825268,-0.001236677,0.1674199,-5.953035,3.732371,0.01200599,-17.30844,10.42709,-0.626709,-0.4074707,0.7805176,0.00603056,-0.2715191,0.1982672,-7.848489,12.63898,0.09085173,-22.14974,35.44263,Unknown
-0.08300781,-0.1403809,-0.439209,-0.4573359,-0.7951298,0.1979542,-6.18896,3.850918,0.01477735,-17.43554,10.2052,-0.6254883,-0.4089355,0.8012695,0.1129008,-0.05777865,-0.07654199,-8.128267,13.08163,0.08978015,-21.91484,34.81105,Unknown
-0.08813477,-0.1369629,-0.4389648,-0.2588627,-0.291313,0.2895572,-6.409172,3.986618,0.01912071,-17.00931,10.85005,-0.6228027,-0.3964844,0.7912598,0.3571756,-0.04251146,-0.01547329,-8.390285,13.52205,0.08954804,-21.49167,35.13412,Unknown
-0.08520508,-0.1391602,-0.449707,-0.1825268,-0.5203207,0.06054974,-6.621717,4.104937,0.0199684,-16.91122,10.25946,-0.6398926,-0.4042969,0.7932129,0.0976336,0.04909158,-0.01547329,-8.653908,13.9664,0.08933142,-21.6384,35.7061,Unknown
-0.08911133,-0.1401367,-0.4511719,-0.01458788,-0.123374,0.1368854,-6.828438,4.234658,0.02202169,-16.94699,10.68172,-0.6254883,-0.4020996,0.7805176,-0.1161069,0.03382444,0.06086259,-8.920548,14.39689,0.09024436,-21.90065,35.46598,Unknown
-0.08984375,-0.1352539,-0.4465332,-0.02985501,-0.2149771,0.1216183,-7.02305,4.365008,0.02372434,-16.53862,10.89964,-0.6289063,-0.4072266,0.7854004,0.2350382,0.03382444,0.01506107,-9.179605,14.81758,0.09045521,-22.03464,35.40798,Unknown
-0.08618164,-0.1359863,-0.4443359,0.4128931,0.05983204,0.1368854,-7.210972,4.488727,0.02577762,-16.72263,10.50697,-0.6257324,-0.404541,0.7819824,0.4029771,-0.1341145,0.07612977,-9.429994,15.22729,0.09159716,-21.99516,35.402,Unknown
-0.08520508,-0.137207,-0.4511719,0.4128931,0.1972366,0.0147481,-7.393843,4.606495,0.0259841,-16.63774,10.24184,-0.638916,-0.409668,0.7902832,0.1434351,-0.1341145,0.1524656,-9.67853,15.63429,0.09373167,-21.95524,35.66921,Unknown
-0.08569336,-0.1376953,-0.4455566,-0.1214581,-0.07757253,-0.09212208,-7.585271,4.721544,0.02469439,-16.88195,10.41217,-0.6281738,-0.4023438,0.793457,0.2503054,-0.3631221,0.07612977,-9.915148,16.02114,0.0947975,-21.68112,35.22596,Unknown
-0.08349609,-0.1413574,-0.4443359,0.03121376,-0.001236677,0.04528236,-7.780354,4.83014,0.02537363,-17.36235,10.15229,-0.6210938,-0.4116211,0.7956543,0.4487787,-0.179916,0.2593359,-10.15396,16.39277,0.09868753,-22.18568,34.73444,Unknown
-0.08325195,-0.1398926,-0.4465332,-0.3504658,-0.3065802,0.1063511,-7.97191,4.931094,0.02686254,-17.11773,10.08817,-0.6254883,-0.4104004,0.7915039,0.05183208,-0.1493817,0.04559542,-10.39291,16.7639,0.09932587,-22.13713,35.05173,Unknown
-0.08349609,-0.1357422,-0.4421387,-0.5947404,-0.6577252,-0.01578617,-8.156965,5.027471,0.02662575,-16.78754,10.23335,-0.6206055,-0.4055176,0.7944336,0.08236647,0.06435877,0.1066641,-10.6221,17.12616,0.1009258,-21.91282,34.82971,Unknown
-0.08349609,-0.1315918,-0.4377441,-0.3657329,-0.7035267,0.442229,-8.32787,5.124307,0.03281695,-16.45133,10.3519,-0.6203613,-0.4089355,0.7802734,0.1129008,0.1101603,0.07612977,-10.85421,17.48821,0.1019916,-22.30515,35.15336,Unknown
-0.08911133,-0.1335449,-0.4477539,0.3518243,-0.3218473,-0.0005190372,-8.482589,5.233357,0.03280969,-16.30517,10.79758,-0.6269531,-0.4082031,0.7924805,0.08236647,0.03382444,0.1066641,-11.07594,17.84129,0.1034849,-21.99696,35.11903,Unknown
-0.08862305,-0.1330566,-0.4414063,0.2754886,-0.1386412,0.04528236,-8.638448,5.344413,0.03344364,-16.46453,10.88127,-0.6242676,-0.4077148,0.7927246,-0.08557248,-0.01197708,-0.01547329,-11.29564,18.18437,0.1032683,-22.00216,35.00358,Unknown
-0.0847168,-0.1350098,-0.4489746,-0.06038928,-0.3523817,0.03001523,-8.795807,5.437197,0.03389387,-16.46202,10.24263,-0.6271973,-0.4140625,0.7866211,0.1739695,0.1101603,-0.1070763,-11.51458,18.5264,0.1016622,-22.37059,35.20502,Unknown
-0.08691406,-0.1345215,-0.4443359,0.2144198,0.05983204,-0.0310533,-8.9479,5.541349,0.03345912,-16.54756,10.60376,-0.6401367,-0.4055176,0.7954102,0.4182443,-0.08831299,-0.0002061129,-11.71178,18.86746,0.1016593,-21.66172,35.63998,Unknown
-0.08813477,-0.1359863,-0.4509277,-0.04512215,-0.1844428,0.1063511,-9.099349,5.639792,0.03505439,-16.48716,10.59907,-0.6225586,-0.4038086,0.7932129,0.08236647,-0.04251146,-3.725397,-11.91282,19.1889,0.04577834,-21.8244,34.97043,Unknown
