this file contains data from all 3 sensors in the format of sensor1,2,3 with each sensor having accx,accy,accz,gyrox,gyroy,gyroz,gyro_biasedx,...,gyro_biasedz.

sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,posture
-0.5253906,-0.8349609,0.046875,-1.145038,-2.290076,1.251908,0.9978323,-0.5849153,-0.1711452,-0.6196289,0.203125,0.8896484,-0.870229,0.9312977,-0.8854962,0.3790534,-0.0185954,-0.5449162,0.4284668,0.2666016,0.1149902,-4.396946,0.03053435,-3.938931,-0.5964267,-0.766168,-0.5585637,NEUTRAL
-0.5219727,-0.8322754,0.06323242,-1.343511,-2.015267,1.694656,0.7993589,-0.3101062,0.2716029,-0.6293945,0.1962891,0.8935547,-1.954198,0.3206107,-0.3358779,-0.7049161,-0.6292825,0.004702121,0.4255371,0.2780762,0.1044922,-4.412214,1.969466,-4.259542,-0.6116941,1.172763,-0.8791744,NEUTRAL
-0.5251465,-0.8259277,0.05810547,-2.290076,-2.061069,1.572519,-0.1472058,-0.3559078,0.1494654,-0.611084,0.1977539,0.8791504,-1.877863,0.5954198,-0.351145,-0.6285802,-0.3544733,-0.01056504,0.4228516,0.2822266,0.1057129,-4.519084,1.114504,-4.0,-0.7185643,0.3178015,-0.6196325,NEUTRAL
-0.5197754,-0.8242188,0.05224609,-1.755725,-2.427481,1.160305,0.3871453,-0.72232,-0.2627482,-0.6169434,0.1977539,0.8881836,-1.19084,0.4885496,-0.1068702,0.05844271,-0.4613435,0.2337098,0.4250488,0.2827148,0.123291,-3.465649,1.984733,-4.015267,0.3348708,1.18803,-0.6348999,NEUTRAL
-0.5202637,-0.8342285,0.05761719,-1.694656,-1.954198,1.480916,0.448214,-0.2490375,0.0578624,-0.6169434,0.1958008,0.8847656,-2.015267,0.2748091,-0.1832061,-0.7659848,-0.675084,0.1573739,0.4265137,0.2805176,0.1074219,-3.908397,1.419847,-3.633588,-0.1078773,0.6231451,-0.2532203,NEUTRAL
-0.5253906,-0.8322754,0.0546875,-1.694656,-1.770992,1.206107,0.448214,-0.06583142,-0.2169467,-0.6137695,0.2021484,0.895752,-1.083969,0.7480916,-0.1526718,0.1653129,-0.2018015,0.1879082,0.4233398,0.2680664,0.1162109,-4.900764,1.038168,-3.572519,-1.100244,0.2414656,-0.1921515,NEUTRAL
-0.5202637,-0.8405762,0.05834961,-1.358779,-2.015267,1.206107,0.7840919,-0.3101062,-0.2169467,-0.628418,0.2023926,0.888916,-0.2748091,0.01526718,0.1221374,0.9744732,-0.9346259,0.4627174,0.4257813,0.2792969,0.1237793,-3.083969,0.9770992,-3.664122,0.7165504,0.1803969,-0.2837546,NEUTRAL
-0.5209961,-0.8388672,0.04931641,-1.557252,-1.908397,1.938931,0.5856185,-0.203236,0.5158777,-0.6108398,0.1994629,0.8945313,-1.022901,1.19084,-0.5496183,0.2263815,0.2409465,-0.2090383,0.4199219,0.2871094,0.1005859,-2.305344,0.1526718,-2.992366,1.495176,-0.6440306,0.3880012,NEUTRAL
-0.5136719,-0.8295898,0.05957031,-2.198473,-2.21374,1.251908,-0.05560279,-0.5085793,-0.1711452,-0.6203613,0.2016602,0.8833008,-2.152672,1.618321,-0.4580153,-0.9033895,0.6684275,-0.1174353,0.4282227,0.2810059,0.1137695,-2.503817,1.709924,-3.603053,1.296703,0.9132213,-0.2226858,NEUTRAL
-0.517334,-0.8325195,0.05981445,-1.358779,-1.709924,1.664122,0.7840919,-0.00476265,0.2410685,-0.6174316,0.1945801,0.8774414,-1.954198,1.267176,-0.7480916,-0.7049161,0.3172824,-0.4075116,0.4204102,0.2773438,0.1142578,-2.961832,-0.1374046,-3.312977,0.8386877,-0.9341069,0.06739044,NEUTRAL
-0.527832,-0.8349609,0.06323242,-2.305344,-1.541985,1.847328,-0.1624732,0.1631763,0.4242745,-0.6157227,0.2062988,0.8876953,-1.770992,1.160305,-0.2442748,-0.52171,0.2104123,0.09630518,0.4311523,0.2807617,0.1203613,-3.89313,1.206107,-3.419847,-0.09261012,0.4094046,-0.03947973,NEUTRAL
-0.5224609,-0.829834,0.05688477,-2.610687,-1.78626,1.89313,-0.4678166,-0.08109856,0.4700762,-0.6120605,0.2016602,0.894043,-1.038168,1.328244,-0.6717557,0.2111144,0.3783512,-0.3311758,0.4238281,0.2810059,0.1132813,-3.954198,0.4274809,-3.282443,-0.1536787,-0.3692214,0.09792471,NEUTRAL
-0.5231934,-0.8256836,0.0559082,-2.137405,-1.374046,1.923664,0.005465746,0.3311151,0.5006104,-0.6252441,0.197998,0.8918457,-1.923664,0.8396947,-0.7328244,-0.6743817,-0.1101984,-0.3922445,0.4250488,0.2861328,0.1210938,-4.198473,0.8396947,-3.709924,-0.3979537,0.04299235,-0.3295562,NEUTRAL
-0.5229492,-0.8278809,0.05615234,-2.534351,-1.389313,1.572519,-0.3914807,0.315848,0.1494654,-0.6005859,0.1933594,0.8894043,-0.9160305,0.7022901,-0.5496183,0.3332518,-0.2476031,-0.2090383,0.4221191,0.2783203,0.111084,-4.030534,0.9007633,-4.091603,-0.2300146,0.104061,-0.7112358,NEUTRAL
-0.5273438,-0.8232422,0.05908203,-2.839695,-1.801527,1.312977,-0.6968243,-0.09636569,-0.1100765,-0.614502,0.2026367,0.8806152,-1.175573,1.068702,-0.1679389,0.07370985,0.1188092,0.172641,0.4284668,0.279541,0.1115723,-3.557252,1.022901,-3.572519,0.2432678,0.2261985,-0.1921515,NEUTRAL
-0.5192871,-0.8271484,0.05908203,-2.839695,-1.526718,2.198473,-0.6968243,0.1784434,0.7754196,-0.6162109,0.1931152,0.8901367,-1.587786,0.519084,-0.3053435,-0.338504,-0.4308091,0.03523648,0.4255371,0.2810059,0.1066895,-3.267176,0.870229,-3.877863,0.533344,0.07352668,-0.4974952,NEUTRAL
-0.5197754,-0.8242188,0.05419922,-2.610687,-1.480916,1.557252,-0.4678166,0.224245,0.1341983,-0.6171875,0.2011719,0.8896484,-1.709924,1.038168,-0.5648855,-0.4606413,0.08827484,-0.2243055,0.4226074,0.2822266,0.1088867,-3.603053,0.09160305,-3.358779,0.1974664,-0.7050993,0.0215888,NEUTRAL
-0.526123,-0.8312988,0.06152344,-2.625954,-1.847328,1.221374,-0.4830837,-0.1421672,-0.2016796,-0.6171875,0.1948242,0.892334,-1.038168,0.8549618,-0.4885496,0.2111144,-0.09493131,-0.1479696,0.4257813,0.2854004,0.1247559,-1.175573,0.519084,-3.038168,2.624947,-0.2776184,0.3421996,NEUTRAL
-0.5222168,-0.8291016,0.05322266,-2.916031,-1.694656,1.572519,-0.7731602,0.01050448,0.1494654,-0.6206055,0.1918945,0.8879395,-2.137405,1.557252,-0.4274809,-0.8881224,0.6073588,-0.08690092,0.4101563,0.2773438,0.0949707,-1.450382,0.6564885,-3.083969,2.350138,-0.1402138,0.2963982,NEUTRAL
-0.5263672,-0.8183594,0.05786133,-2.549618,-1.954198,1.221374,-0.4067478,-0.2490375,-0.2016796,-0.6218262,0.197998,0.8984375,-1.221374,1.51145,-0.519084,0.02790833,0.5615573,-0.178504,0.432373,0.2854004,0.1181641,-2.748092,1.328244,-3.587786,1.052428,0.531542,-0.2074187,NEUTRAL
-0.5266113,-0.8276367,0.06616211,-1.954198,-1.801527,1.175573,0.188672,-0.09636569,-0.2474811,-0.6123047,0.1877441,0.8840332,-1.175573,1.022901,-0.2137404,0.07370985,0.0730077,0.1268395,0.4250488,0.2878418,0.1088867,-3.160305,0.9007633,-3.022901,0.6402144,0.104061,0.3574667,NEUTRAL
-0.5222168,-0.8232422,0.05517578,-2.992366,-1.526718,0.8244275,-0.8494959,0.1784434,-0.5986261,-0.6152344,0.1877441,0.894043,-0.9312977,0.3206107,0.0610687,0.3179846,-0.6292825,0.4016487,0.4255371,0.2819824,0.1120605,-3.984733,1.618321,-3.541985,-0.1842132,0.8216183,-0.1616173,NEUTRAL
-0.5249023,-0.8288574,0.05029297,-2.442748,-1.389313,1.374046,-0.2998776,0.315848,-0.04900777,-0.614502,0.2028809,0.8803711,-0.4885496,0.7938931,-3.89313,0.7607327,-0.156,-3.55255,0.423584,0.2797852,0.1020508,-3.847328,2.183206,-3.40458,-0.04680848,1.386504,-0.0242126,NEUTRAL
-0.526123,-0.8310547,0.05322266,-2.549618,-1.954198,0.870229,-0.4067478,-0.2490375,-0.5528246,-0.6159668,0.2009277,0.8881836,-1.618321,1.40458,0.01526718,-0.3690382,0.454687,0.3558471,0.4245605,0.2832031,0.1193848,-4.320611,1.053435,-3.206107,-0.5200908,0.2567327,0.1742606,NEUTRAL
-0.5249023,-0.8237305,0.05737305,-2.305344,-1.587786,0.8244275,-0.1624732,0.1173747,-0.5986261,-0.6098633,0.1962891,0.887207,-1.053435,1.40458,0.07633588,0.1958473,0.454687,0.4169158,0.4240723,0.2844238,0.1179199,-3.984733,0.8244275,-3.068702,-0.1842132,0.02772516,0.3116653,NEUTRAL
-0.5236816,-0.8310547,0.04858398,-2.396947,-1.832061,0.8549618,-0.2540762,-0.1269001,-0.5680918,-0.6164551,0.2021484,0.8935547,-0.8854962,1.282443,-0.1984733,0.3637862,0.3325496,0.1421067,0.4245605,0.277832,0.112793,-3.541985,0.5343512,-2.793893,0.2585349,-0.2623512,0.5864744,NEUTRAL
-0.5180664,-0.8337402,0.05419922,-2.458015,-1.679389,1.114504,-0.3151448,0.02577162,-0.3085498,-0.6164551,0.1970215,0.8918457,-1.221374,1.236641,-0.1832061,0.02790833,0.286748,0.1573739,0.4226074,0.2807617,0.1103516,-3.496183,1.083969,-3.526718,0.3043365,0.2872672,-0.1463501,NEUTRAL
-0.5183105,-0.8305664,0.0546875,-2.625954,-0.5648855,1.557252,-0.4830837,1.140275,0.1341983,-0.6191406,0.1977539,0.887207,-1.801527,1.755725,-0.3816794,-0.5522443,0.805832,-0.0410994,0.4077148,0.277832,0.1135254,-5.068702,0.9160305,-3.526718,-1.268183,0.1193282,-0.1463501,NEUTRAL
-0.5166016,-0.8312988,0.05297852,-2.427481,-0.9770992,0.9923664,-0.2846105,0.7280617,-0.4306872,-0.6208496,0.197998,0.8952637,-1.389313,2.656489,-0.7480916,-0.1400306,1.706596,-0.4075116,0.4265137,0.2832031,0.1213379,-5.480916,-0.7328244,-2.839695,-1.680396,-1.529527,0.5406728,NEUTRAL
-0.5314941,-0.8293457,0.04882813,-1.694656,-0.7480916,1.679389,0.448214,0.9570694,0.2563357,-0.6120605,0.2155762,0.8879395,-0.8396947,2.549618,-0.9465649,0.4095877,1.599725,-0.6059849,0.4194336,0.2861328,0.09838867,-2.625954,0.4885496,-2.992366,1.174566,-0.3081527,0.3880012,NEUTRAL
-0.5131836,-0.8120117,0.05517578,-1.877863,-2.167939,0.7480916,0.2650079,-0.462778,-0.674962,-0.621582,0.1977539,0.894043,-1.541985,1.145038,-0.9770992,-0.2927023,0.195145,-0.6365192,0.432373,0.2844238,0.1271973,-2.137405,1.114504,-3.648855,1.663115,0.3178015,-0.2684875,NEUTRAL
-0.5212402,-0.8244629,0.05371094,-2.351145,-1.847328,1.267176,-0.2082746,-0.1421672,-0.1558781,-0.6208496,0.1940918,0.876709,-1.541985,-0.6412213,-0.2748091,-0.2927023,-1.591115,0.06577084,0.421875,0.2814941,0.1101074,-2.641221,0.4427481,-3.480916,1.159298,-0.3539542,-0.1005485,NEUTRAL
-0.5285645,-0.8146973,0.05419922,-3.236641,-1.557252,1.251908,-1.093771,0.147909,-0.1711452,-0.595459,0.1992188,0.8972168,-0.3053435,0.8854962,-0.3816794,0.9439388,-0.06439692,-0.0410994,0.4287109,0.2805176,0.111084,-3.389313,1.251908,-3.450382,0.4112067,0.4552061,-0.07001424,NEUTRAL
-0.5256348,-0.8356934,0.05541992,-2.793893,-1.908397,1.496183,-0.6510227,-0.203236,0.07312953,-0.6169434,0.2011719,0.8884277,-0.9923664,1.770992,-0.2442748,0.2569159,0.8210993,0.09630518,0.4248047,0.2756348,0.105957,-3.038168,0.6717557,-3.129771,0.7623518,-0.1249466,0.2505965,NEUTRAL
-0.5151367,-0.8269043,0.05737305,-2.870229,-2.0,1.770992,-0.7273586,-0.294839,0.3479388,-0.619873,0.201416,0.895752,-2.061069,1.450382,-0.5648855,-0.8117865,0.5004885,-0.2243055,0.4296875,0.2856445,0.1166992,-2.641221,0.7022901,-3.51145,1.159298,-0.09441227,-0.1310828,NEUTRAL
-0.5288086,-0.8254395,0.05639648,-2.580153,-1.801527,1.862595,-0.4372823,-0.09636569,0.4395418,-0.6206055,0.1958008,0.8840332,-1.603053,1.572519,-0.3664122,-0.3537711,0.6226259,-0.02583224,0.4274902,0.2790527,0.1040039,-3.29771,0.3969466,-3.374046,0.5028098,-0.3997557,0.006321669,NEUTRAL
-0.5229492,-0.8254395,0.05029297,-3.251908,-1.938931,1.633588,-1.109038,-0.2337704,0.2105342,-0.626709,0.1982422,0.8864746,-1.175573,1.557252,-0.2442748,0.07370985,0.6073588,0.09630518,0.4277344,0.2841797,0.1101074,-2.732824,0.3206107,-2.992366,1.067695,-0.4760917,0.3880012,NEUTRAL
-0.5266113,-0.8256836,0.05273438,-3.129771,-1.862595,1.236641,-0.9869005,-0.1574345,-0.1864124,-0.6191406,0.1982422,0.8994141,-1.053435,1.648855,-0.2748091,0.1958473,0.6989618,0.06577084,0.4287109,0.279541,0.1054688,-2.625954,1.221374,-3.175573,1.174566,0.4246717,0.2047949,NEUTRAL
-0.5163574,-0.8203125,0.046875,-2.229008,-2.442748,1.114504,-0.08613729,-0.7375871,-0.3085498,-0.6242676,0.1965332,0.8911133,-1.099237,1.541985,-0.2290076,0.1500458,0.5920916,0.1115724,0.4255371,0.2849121,0.1040039,-1.282443,-0.4274809,-2.656489,2.518077,-1.224183,0.7238789,NEUTRAL
-0.5263672,-0.8198242,0.04638672,-3.572519,-3.038168,1.679389,-1.429649,-1.333007,0.2563357,-0.6147461,0.192627,0.8823242,-1.465649,1.465649,-0.2748091,-0.2163665,0.5157557,0.06577084,0.4367676,0.284668,0.1132813,-2.427481,-2.10687,-2.793893,1.373039,-2.903573,0.5864744,NEUTRAL
-0.5229492,-0.8288574,0.05151367,-3.083969,-2.076336,1.282443,-0.941099,-0.3711749,-0.1406109,-0.6262207,0.1945801,0.8779297,-0.5801527,1.114504,-0.3664122,0.6691297,0.1646107,-0.02583224,0.4223633,0.2788086,0.08911133,0.01526718,0.8091603,-3.145038,3.815787,0.01245797,0.2353294,NEUTRAL
-0.470459,-0.815918,0.2705078,6.458015,-9.648855,1.496183,8.600885,-7.943694,0.07312953,-0.6845703,0.1035156,0.8032227,-5.221374,7.938931,-3.129771,-3.972092,6.989038,-2.789191,0.4279785,0.2619629,0.0234375,4.748092,-2.167939,-3.770992,8.548612,-2.964641,-0.3906248,SLOUCH_MOD
-0.4655762,-0.8120117,0.2922363,7.89313,-9.343512,0.6717557,10.036,-7.63835,-0.7512979,-0.7143555,0.1013184,0.8222656,-5.801527,10.8855,-3.343511,-4.552244,9.935603,-3.002931,0.4389648,0.2675781,0.03271484,2.458015,-3.694656,-2.030534,6.258535,-4.491359,1.349833,SLOUCH_MOD
-0.4611816,-0.802002,0.3105469,6.778626,-9.801527,1.099237,8.921496,-8.096366,-0.323817,-0.7285156,0.09912109,0.7954102,-6.992366,9.893129,-2.473282,-5.743084,8.943236,-2.132702,0.4370117,0.2695313,0.01904297,3.740458,-5.038168,-1.877863,7.540977,-5.83487,1.502505,SLOUCH_MOD
-0.4628906,-0.7963867,0.317627,2.839695,-7.78626,1.648855,4.982565,-6.081099,0.2258013,-0.7507324,0.08911133,0.8125,-5.038168,7.068702,-1.038168,-3.788886,6.118809,-0.697588,0.4543457,0.2763672,0.01318359,2.412214,-3.129771,-2.534351,6.212733,-3.926473,0.8460164,SLOUCH_MOD
-0.4626465,-0.8056641,0.3051758,1.679389,-7.496183,1.984733,3.82226,-5.791022,0.5616793,-0.7121582,0.09057617,0.7983398,-4.10687,5.862596,-0.2900764,-2.857588,4.912703,0.05050364,0.4345703,0.2629395,0.02368164,2.778626,-0.3664122,-2.671756,6.579145,-1.163115,0.7086117,SLOUCH_MOD
-0.4543457,-0.8049316,0.3337402,2.70229,-8.366412,1.328244,4.84516,-6.661251,-0.09480929,-0.7438965,0.08374023,0.8012695,-5.633588,6.38168,-0.4122138,-4.384305,5.431787,-0.07163376,0.4343262,0.267334,-0.002197266,4.564886,1.282443,-3.618321,8.365405,0.4857404,-0.2379532,SLOUCH_MOD
-0.4494629,-0.7956543,0.3364258,2.946565,-7.419847,1.541985,5.089436,-5.714686,0.1189311,-0.7441406,0.07885742,0.7998047,-6.671756,6.38168,-1.221374,-5.422473,5.431787,-0.880794,0.4440918,0.2697754,0.01000977,1.603053,-2.076336,-2.961832,5.403573,-2.873038,0.4185355,SLOUCH_MOD
-0.4533691,-0.7958984,0.3432617,3.053435,-7.755725,0.8091603,5.196305,-6.050564,-0.6138933,-0.7480469,0.08251953,0.8039551,-4.274809,5.862596,-1.343511,-3.025527,4.912703,-1.002931,0.4489746,0.2717285,0.015625,2.519084,-3.145038,-2.564885,6.319604,-3.941741,0.8154821,SLOUCH_MOD
-0.4523926,-0.8000488,0.3476563,1.648855,-5.832061,0.8854962,3.791725,-4.1269,-0.5375574,-0.7583008,0.07177734,0.7937012,-3.755725,4.534351,-0.9160305,-2.506443,3.584458,-0.5754505,0.4416504,0.2700195,0.009765625,0.5038168,-0.9923664,-2.992366,4.304337,-1.789069,0.3880012,SLOUCH_MOD
-0.4511719,-0.793457,0.3452148,2.412214,-5.984733,0.8091603,4.555084,-4.279572,-0.6138933,-0.7397461,0.07373047,0.7807617,-2.946565,5.007634,-1.847328,-1.697283,4.057741,-1.506748,0.4401855,0.2614746,0.008300781,0.1832061,-2.015267,-3.450382,3.983726,-2.81197,-0.07001424,SLOUCH_MOD
-0.4482422,-0.798584,0.3549805,2.687023,-4.610687,0.7633588,4.829893,-2.905526,-0.6596949,-0.7524414,0.0637207,0.7888184,-3.022901,6.21374,-2.0,-1.773618,5.263847,-1.65942,0.4470215,0.2700195,-0.004394531,-1.832061,-1.175573,-2.778626,1.968459,-1.972275,0.6017416,SLOUCH_MOD
-0.449707,-0.7944336,0.3601074,1.114504,-4.38168,0.2442748,3.257374,-2.676518,-1.178779,-0.7570801,0.07104492,0.7797852,-1.648855,4.458015,-1.984733,-0.3995726,3.508122,-1.644153,0.4448242,0.2680664,0.006835938,-2.122137,-3.770992,-2.290076,1.678382,-4.567695,1.090291,SLOUCH_MOD
-0.4414063,-0.7888184,0.3605957,0.870229,-4.59542,-0.1679389,3.013099,-2.890259,-1.590993,-0.7456055,0.06787109,0.7851563,-1.816794,4.030534,-1.572519,-0.5675116,3.080641,-1.231939,0.4396973,0.2646484,-0.002685547,-2.748092,-1.770992,-2.259542,1.052428,-2.567695,1.120826,SLOUCH_MOD
-0.4472656,-0.7946777,0.3579102,1.435114,-5.038168,0.3969466,3.577985,-3.333007,-1.026107,-0.7497559,0.07836914,0.7927246,-1.603053,4.732824,-1.083969,-0.3537711,3.782931,-0.7433895,0.4428711,0.2646484,0.000732422,-1.328244,-2.259542,-2.320611,2.472275,-3.056244,1.059757,SLOUCH_MOD
-0.4509277,-0.793457,0.3708496,-2.015267,-4.641222,2.030534,0.1276033,-2.93606,0.6074806,-0.7648926,0.07763672,0.7905273,-1.709924,2.21374,0.5038168,-0.4606413,1.263847,0.8443968,0.4682617,0.263916,-0.003662109,0.6259542,1.633588,-4.290076,4.426474,0.8368855,-0.9097088,SLOUCH_MOD
-0.4423828,-0.7963867,0.3664551,-2.519084,-5.877862,2.198473,-0.3762136,-4.172701,0.7754196,-0.744873,0.07226563,0.7751465,-3.679389,2.977099,0.5038168,-2.430107,2.027206,0.8443968,0.4338379,0.2546387,-0.00390625,3.526718,2.671756,-3.847328,7.327237,1.875053,-0.4669607,SLOUCH_MOD
-0.4370117,-0.7827148,0.3713379,-0.2900764,-6.763359,2.183206,1.852794,-5.058197,0.7601524,-0.7519531,0.06176758,0.7502441,-7.145038,5.725191,0.519084,-5.895756,4.775298,0.859664,0.4421387,0.2558594,0.006103516,-0.8091603,-0.2748091,-3.923664,2.99136,-1.071512,-0.5432966,SLOUCH_MOD
-0.4299316,-0.7912598,0.3730469,0.9312977,-6.625954,1.664122,3.074168,-4.920793,0.2410685,-0.7709961,0.0637207,0.7619629,-4.717557,6.152672,-0.7022901,-3.468275,5.202779,-0.3617101,0.442627,0.2612305,-0.01123047,3.557252,-0.5648855,-3.694656,7.357772,-1.361588,-0.3142889,SLOUCH_MOD
-0.4304199,-0.7932129,0.4013672,0.5496183,-5.679389,1.419847,2.692489,-3.974228,-0.003206253,-0.7836914,0.05493164,0.762207,-5.603054,7.068702,-0.9923664,-4.353771,6.118809,-0.6517864,0.4516602,0.2626953,-0.009521484,-0.870229,-2.274809,-1.801527,2.930291,-3.071512,1.578841,SLOUCH_MOD
-0.4333496,-0.7849121,0.3852539,0.7633588,-4.900764,0.7480916,2.906229,-3.195602,-0.674962,-0.7744141,0.05419922,0.7421875,-1.160305,4.717557,-1.709924,0.08897697,3.767664,-1.369344,0.4438477,0.2644043,-0.008300781,-0.4122138,-1.083969,-2.763359,3.388306,-1.880672,0.6170087,SLOUCH_MOD
